"year","obs","pred"
1961,16000,16020.9
1962,65000,64954.1
1963,136300,136121
1964,243400,243020
1965,348600,347564
1966,200800,199993
1967,120000,119662
1968,100200,99988.8
1969,72600,72498.2
1970,44900,44878.2
1971,77500,77368.4
1972,77600,77452.7
1973,56400,56325.7
1974,51000,50949.3
1975,50400,50357.5
1976,45500,45468.5
1977,21600,21599.6
1978,8000,8014.43
1979,8300,8314
1980,10800,10812.7
1981,10500,10512.8
1982,5400,5412.94
1983,2821,2831.17
1984,2752,2762.06
1985,800,804.838
1986,2200,2208.98
1987,4500,4512.52
1988,8540,8555.17
1989,11780,11796.5
1990,13090,13101.7
1991,6548.13,6562.48
1992,6537.64,6553.03
1993,2059.76,2069.42
1994,1841.23,1850.61
1995,5740.72,5757.83
1996,8378.43,8388.24
1997,9518.82,9528.51
1998,8907.93,8918.38
1999,10473.1,10482.4
2000,10145.5,10155.1
2001,10817.1,10826.2
2002,11733.8,11742
2003,10846.3,10850.1
2004,11639.9,11642
2005,11247.5,11249.1
2006,13595.3,13591.5
2007,12954.8,12936.4
2008,12461.2,12444.9
2009,12986.4,12964.5
2010,15615.7,15578.2
2011,14223.6,14189.9
2012,14916,14875.7
2013,13181.4,13153.8
2014,17712.1,17652
2015,18732.8,18667.5
2016,23034.5,22929.5
2017,23860.2,23762.7
2018,24737,24629.3
2019,25470.3,25373.3
2020,25191.2,25096.3
2021,28899.9,28802.3
2022,29484,29390.9
2023,30380.7,30305.2
