"age","fish1","fish2","fish3","fish4","srv1"
2,0.000144157,0.0000724544,0.000000753127,0.0000126866,0.00352726
3,0.000702578,0.000390853,0.0000792366,0.000315358,0.00474922
4,0.00341677,0.00221589,0.00101641,0.0019103,0.00639201
5,0.0164439,0.0109724,0.00550858,0.00649171,0.0085986
6,0.0753823,0.0469883,0.0186201,0.0160716,0.0115589
7,0.28447,0.165549,0.0466917,0.0325652,0.0155237
8,0.659714,0.377431,0.0952805,0.057465,0.0208225
9,0.904343,0.535661,0.167211,0.0916445,0.0278834
10,0.978769,0.619961,0.261514,0.135283,0.0372558
11,0.995572,0.684266,0.373476,0.18789,0.0496325
12,0.999089,0.746985,0.495566,0.248394,0.0658653
13,0.999813,0.808897,0.618837,0.315277,0.0869669
14,0.999962,0.866657,0.734367,0.386714,0.114081
15,0.999992,0.916641,0.834443,0.460721,0.148409
16,0.999998,0.956036,0.913335,0.535284,0.191059
17,1,0.98315,0.967639,0.608467,0.242832
18,1,0.99743,0.996236,0.678496,0.303932
19,1,0.999309,1,0.743823,0.373686
20,1,0.98999,0.981336,0.803163,0.450369
21,1,0.971186,0.943676,0.85551,0.531243
22,1,0.944883,0.890997,0.900144,0.612894
23,1,0.91313,0.827404,0.936612,0.691774
24,1,0.877883,0.756813,0.964716,0.764796
25,1,0.840893,0.682729,0.984479,0.829776
26,1,0.803639,0.608119,0.996115,0.885597
27,1,0.767307,0.535354,1,0.932118
28,1,0.732788,0.46622,0.996633,0.969916
29,1,0.700701,0.401958,0.986608,1
