"year","obs","pred"
1961,16000,16069.2
1962,65000,65676.2
1963,136300,138358
1964,243400,247663
1965,348600,350308
1966,200800,197891
1967,120000,118898
1968,100200,99851.2
1969,72600,72493.6
1970,44900,44871.3
1971,77500,77287.3
1972,77600,77217.8
1973,56400,56146.2
1974,51000,50912.3
1975,50400,50436.3
1976,45500,45528.1
1977,21600,21607.2
1978,8000,8013.03
1979,8300,8316.25
1980,10800,10825.4
1981,10500,10530.4
1982,5400,5417.07
1983,2821,2831.69
1984,2752,2762.85
1985,800,804.562
1986,2200,2209.6
1987,4500,4518.56
1988,8540,8582.6
1989,11780,11851.6
1990,13090,13121.9
1991,6548.13,6564.93
1992,6537.64,6554.38
1993,2059.76,2068.82
1994,1841.23,1850.09
1995,5740.72,5757.54
1996,8378.43,8397.08
1997,9518.82,9539.77
1998,8907.93,8928.79
1999,10473.1,10497.4
2000,10145.5,10169.8
2001,10817.1,10842
2002,11733.8,11758.3
2003,10846.3,10843.3
2004,11639.9,11631.9
2005,11247.5,11237
2006,13595.3,13571.1
2007,12954.8,12915
2008,12461.2,12422.7
2009,12986.4,12924.8
2010,15615.7,15513.4
2011,14223.6,14125.5
2012,14916,14801.8
2013,13181.4,13110.1
2014,17712.1,17565.5
2015,18732.8,18586.6
2016,23034.5,22801.8
2017,23860.2,23684.9
2018,24737,24543.1
2019,25470.3,25326
2020,25191.2,25049.4
2021,28899.9,28808.2
2022,29484,29399.2
2023,30380.7,30354.5
