"year","obs","pred"
1961,16000,16052
1962,65000,65462.4
1963,136300,137862
1964,243400,247055
1965,348600,351026
1966,200800,199117
1967,120000,119308
1968,100200,99968.2
1969,72600,72526.2
1970,44900,44883.1
1971,77500,77356.3
1972,77600,77352.2
1973,56400,56239.4
1974,51000,50930.4
1975,50400,50395.1
1976,45500,45499.6
1977,21600,21605.5
1978,8000,8014.5
1979,8300,8316.01
1980,10800,10820.4
1981,10500,10523.3
1982,5400,5415.84
1983,2821,2831.79
1984,2752,2762.82
1985,800,804.757
1986,2200,2209.57
1987,4500,4516.76
1988,8540,8573.72
1989,11780,11834.2
1990,13090,13118.1
1991,6548.13,6565.38
1992,6537.64,6555.25
1993,2059.76,2069.18
1994,1841.23,1850.39
1995,5740.72,5758.07
1996,8378.43,8395.83
1997,9518.82,9537.98
1998,8907.93,8927.23
1999,10473.1,10494.4
2000,10145.5,10167.2
2001,10817.1,10839.6
2002,11733.8,11756.5
2003,10846.3,10847.7
2004,11639.9,11637.5
2005,11247.5,11242.5
2006,13595.3,13579.4
2007,12954.8,12914.2
2008,12461.2,12421.1
2009,12986.4,12927.1
2010,15615.7,15517.4
2011,14223.6,14130.2
2012,14916,14805.5
2013,13181.4,13108.1
2014,17712.1,17563.5
2015,18732.8,18581.8
2016,23034.5,22794
2017,23860.2,23668.7
2018,24737,24524
2019,25470.3,25305.3
2020,25191.2,25028.4
2021,28899.9,28779.4
2022,29484,29376.4
2023,30380.7,30330.3
