"age","fish1","fish2","fish3","fish4","srv1"
2,0.000145803,0.0000744896,0.00000318008,0.000186228,0.0304756
3,0.000768498,0.000536826,0.000305538,0.00207283,0.0420467
4,0.00403985,0.00380087,0.00356637,0.00802404,0.0577507
5,0.0209448,0.0192424,0.0175622,0.020157,0.0788391
6,0.101388,0.0776082,0.0538957,0.0399538,0.106759
7,0.373065,0.247775,0.122638,0.0681714,0.143038
8,0.758361,0.492545,0.227014,0.104889,0.189048
9,0.943027,0.651935,0.361297,0.149617,0.245634
10,0.988675,0.750187,0.512344,0.20143,0.312658
11,0.997833,0.830163,0.663327,0.259095,0.388599
12,0.999588,0.898208,0.797832,0.321195,0.470431
13,0.999922,0.950892,0.902998,0.386232,0.55398
14,0.999985,0.984956,0.97115,0.452706,0.634713
15,0.999997,0.99937,1,0.519184,0.708679
16,0.999999,0.99529,0.991828,0.584347,0.773212
17,1,0.975468,0.952135,0.647021,0.827156
18,1,0.943536,0.888189,0.706196,0.870658
19,1,0.903372,0.80776,0.761037,0.904737
20,1,0.858629,0.718162,0.810882,0.93083
21,1,0.812434,0.625655,0.855237,0.950462
22,1,0.767243,0.535158,0.893767,0.965039
23,1,0.724817,0.4502,0.926281,0.975757
24,1,0.686282,0.373033,0.952716,0.98358
25,1,0.652227,0.304837,0.973121,0.989261
26,1,0.622824,0.245957,0.987644,0.993369
27,1,0.597944,0.196134,0.996507,0.996333
28,1,0.577261,0.154717,1,0.998466
29,1,0.560336,0.120824,0.998461,1
