record_type,join_key,species_key,sex_key,t_table,cruise,permit,haul_seq,haul_join,vessel,haul_date,haul,sex,species,species_name,sample_type,sample_number,sample_size,sample_weight,extrapolated_weight,extrapolated_number,percent_retained,year,date_of_entry,akfin_load_date,akr_species_code,gear_modifier_description,akfin_vdate,fmp_subarea,gear_type
HAUL,j22652004131000000654,301,U,ATL,22652,4131,654,22652004131000000654,A346,2018-06-04T00:00:00Z,109,NA,301,PACIFIC OCEAN PERCH,B,181,127,116.72,21033.13,32616,100,2018,2018-06-04T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22658002142000000114,301,U,ATL,22658,2142,114,22658002142000000114,A158,2018-05-21T00:00:00Z,50,NA,301,PACIFIC OCEAN PERCH,B,57,99,37.1,4247.49,6526,100,2018,2018-05-21T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22957001191000000260,301,U,ATL,22957,1191,260,22957001191000000260,A476,2018-09-10T00:00:00Z,125,NA,301,PACIFIC OCEAN PERCH,B,15,299,14.7,3359.28,3428,100,2018,2018-09-10T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,2
HAUL,j22554002123000001886,301,U,ATL,22554,2123,1886,22554002123000001886,A118,2018-04-08T00:00:00Z,190,NA,301,PACIFIC OCEAN PERCH,B,1,418,0.81,35.42,44,100,2018,2018-04-08T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22636003694000003000,301,U,ATL,22636,3694,3000,22636003694000003000,A103,2018-07-05T00:00:00Z,578,NA,301,PACIFIC OCEAN PERCH,B,667,411,403.11,26413.5,43705,99,2018,2023-02-27T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,WG,1
HAUL,j22415002142000000350,301,U,ATL,22415,2142,350,22415002142000000350,A158,2018-03-28T00:00:00Z,34,NA,301,PACIFIC OCEAN PERCH,B,11,273,8.15,1160.72,1567,67,2018,2018-03-28T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,WY,2
HAUL,j22636003694000002992,301,U,ATL,22636,3694,2992,22636003694000002992,A103,2018-07-04T00:00:00Z,574,NA,301,PACIFIC OCEAN PERCH,B,709,419,400.42,17623.41,31205,99,2018,2023-02-27T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,WG,1
HAUL,j22957002010000000300,301,U,ATL,22957,2010,300,22957002010000000300,A155,2018-10-14T00:00:00Z,2,NA,301,PACIFIC OCEAN PERCH,B,3,235,2.8,406.73,436,100,2018,2018-10-14T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,2
HAUL,j23044000519000000302,301,U,ATL,23044,519,302,23044000519000000302,A012,2018-11-17T00:00:00Z,325,NA,301,PACIFIC OCEAN PERCH,B,1,172,0.65,31.4,48,100,2018,2018-11-17T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j23083000993000000430,301,U,ATL,23083,993,430,23083000993000000430,A040,2018-10-24T00:00:00Z,207,NA,301,PACIFIC OCEAN PERCH,B,250,218,186.2,15522.37,20841,100,2018,2018-10-24T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22713002800000003600,301,U,ATL,22713,2800,3600,22713002800000003600,A066,2018-07-11T00:00:00Z,597,NA,301,PACIFIC OCEAN PERCH,B,95,187,61.45,3881.62,6001,100,2018,2022-06-30T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22713002800000003604,301,U,ATL,22713,2800,3604,22713002800000003604,A066,2018-07-11T00:00:00Z,599,NA,301,PACIFIC OCEAN PERCH,B,278,207,165.85,12825.63,21498,100,2018,2022-06-30T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22713002800000003720,301,U,ATL,22713,2800,3720,22713002800000003720,A066,2018-07-24T00:00:00Z,657,NA,301,PACIFIC OCEAN PERCH,B,243,188,177.78,18466.17,25241,100,2018,2022-06-30T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22693002781000000536,301,U,ATL,22693,2781,536,22693002781000000536,A026,2018-06-03T00:00:00Z,103,NA,301,PACIFIC OCEAN PERCH,B,436,320,319.5,10445,14254,100,2018,2018-06-03T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22964000249000000104,301,U,ATL,22964,249,104,22964000249000000104,A037,2018-10-04T00:00:00Z,177,NA,301,PACIFIC OCEAN PERCH,B,7,185,6,1356.34,1582,80,2018,2018-10-04T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,2
HAUL,j22866006182000000224,301,U,ATL,22866,6182,224,22866006182000000224,A648,2018-10-09T00:00:00Z,312,NA,301,PACIFIC OCEAN PERCH,B,6,266,5.3,627.18,710,100,2018,2018-10-09T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22635002123000002316,301,U,ATL,22635,2123,2316,22635002123000002316,A118,2018-06-17T00:00:00Z,405,NA,301,PACIFIC OCEAN PERCH,B,1,146,1.06,36.46,34,99,2018,2018-06-17T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22833002123000002616,301,U,ATL,22833,2123,2616,22833002123000002616,A118,2018-08-10T00:00:00Z,553,NA,301,PACIFIC OCEAN PERCH,B,199,308,134.84,10247.01,15103,100,2018,2018-08-10T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,WY,2
HAUL,j22693001571000000100,301,U,ATL,22693,1571,100,22693001571000000100,A202,2018-06-05T00:00:00Z,182,NA,301,PACIFIC OCEAN PERCH,B,259,312,182.6,4800.42,6809,100,2018,2018-06-05T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22415002142000000352,301,U,ATL,22415,2142,352,22415002142000000352,A158,2018-03-28T00:00:00Z,35,NA,301,PACIFIC OCEAN PERCH,B,12,193,9,1813.2,2418,80,2018,2018-03-28T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,WY,2
HAUL,j22635002123000002358,301,U,ATL,22635,2123,2358,22635002123000002358,A118,2018-06-24T00:00:00Z,426,NA,301,PACIFIC OCEAN PERCH,B,6,184,5.46,358.75,394,99,2018,2018-06-24T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22660000405000000374,301,U,ATL,22660,405,374,22660000405000000374,A234,2018-05-14T00:00:00Z,107,NA,301,PACIFIC OCEAN PERCH,B,343,270,270.3,43567,55285,100,2018,2018-05-14T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,2
HAUL,j22649001043000000066,301,U,ATL,22649,1043,66,22649001043000000066,A131,2018-05-05T00:00:00Z,67,NA,301,PACIFIC OCEAN PERCH,B,266,238,166.7,10145.13,16188,100,2018,2018-05-05T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22656000993000000222,301,U,ATL,22656,993,222,22656000993000000222,A040,2018-05-03T00:00:00Z,68,NA,301,PACIFIC OCEAN PERCH,B,61,49,49.4,27220,33612,100,2018,2018-05-03T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,2
HAUL,j22797003819000001024,301,U,ATL,22797,3819,1024,22797003819000001024,A117,2018-08-14T00:00:00Z,503,NA,301,PACIFIC OCEAN PERCH,B,921,599,582.23,43471.58,68765,100,2018,2018-08-14T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22645000005000000142,301,U,ATL,22645,5,142,22645000005000000142,A267,2018-05-14T00:00:00Z,109,NA,301,PACIFIC OCEAN PERCH,B,454,336,336.12,20103,27153,100,2018,2018-05-14T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,2
HAUL,j22797003819000001082,301,U,ATL,22797,3819,1082,22797003819000001082,A117,2018-08-23T00:00:00Z,532,NA,301,PACIFIC OCEAN PERCH,B,133,378,72.09,3371.93,6221,100,2018,2018-08-23T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j23064000367000001744,301,U,ATL,23064,367,1744,23064000367000001744,A343,2018-12-10T00:00:00Z,354,NA,301,PACIFIC OCEAN PERCH,B,13,302,4.3,298.67,903,100,2018,2018-12-10T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22794004093000000986,301,U,ATL,22794,4093,986,22794004093000000986,A264,2018-07-21T00:00:00Z,479,NA,301,PACIFIC OCEAN PERCH,B,161,355,55.11,6302.5,18412,15,2018,2018-07-21T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,WG,1
HAUL,j22797003819000001020,301,U,ATL,22797,3819,1020,22797003819000001020,A117,2018-08-13T00:00:00Z,501,NA,301,PACIFIC OCEAN PERCH,B,481,345,327.76,30708.13,45065,100,2018,2018-08-13T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j23064000367000001782,301,U,ATL,23064,367,1782,23064000367000001782,A343,2018-12-18T00:00:00Z,373,NA,301,PACIFIC OCEAN PERCH,B,8,311,4,313.39,627,0,2018,2018-12-18T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22976000367000001598,301,U,ATL,22976,367,1598,22976000367000001598,A343,2018-11-05T00:00:00Z,281,NA,301,PACIFIC OCEAN PERCH,B,60,302,50,1655.36,1986,80,2018,2018-11-05T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22620000367000001244,301,U,ATL,22620,367,1244,22620000367000001244,A343,2018-05-19T00:00:00Z,104,NA,301,PACIFIC OCEAN PERCH,B,101,276,59.08,2948.01,5040,0,2018,2023-02-27T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j23039001674000000100,301,U,ATL,23039,1674,100,23039001674000000100,A079,2018-09-14T00:00:00Z,117,NA,301,PACIFIC OCEAN PERCH,B,143,128,89.6,3382.95,5399,100,2018,2018-09-14T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22966003717000000556,301,U,ATL,22966,3717,556,22966003717000000556,39737,2018-11-06T00:00:00Z,3,NA,301,PACIFIC OCEAN PERCH,T,2,20,2.2,5.15,2,100,2018,2021-12-29T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,SE,6
HAUL,j22810003819000000832,301,U,ATL,22810,3819,832,22810003819000000832,A117,2018-07-11T00:00:00Z,409,NA,301,PACIFIC OCEAN PERCH,B,1391,783,774.93,49754.03,89309,100,2018,2018-07-11T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,WG,1
HAUL,j22824001879000003828,301,U,ATL,22824,1879,3828,22824001879000003828,A032,2018-07-23T00:00:00Z,574,NA,301,PACIFIC OCEAN PERCH,B,714,362,342.55,26772.35,55803,100,2018,2018-07-23T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22713002800000003654,301,U,ATL,22713,2800,3654,22713002800000003654,A066,2018-07-17T00:00:00Z,624,NA,301,PACIFIC OCEAN PERCH,B,380,261,240.69,13710.97,21647,100,2018,2022-06-30T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22810003819000000932,301,U,ATL,22810,3819,932,22810003819000000932,A117,2018-07-23T00:00:00Z,458,NA,301,PACIFIC OCEAN PERCH,B,418,381,258.94,18451.15,29785,100,2018,2018-07-23T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22926010562000000476,301,U,ATL,22926,10562,476,22926010562000000476,9185,2018-10-08T00:00:00Z,10,NA,301,PACIFIC OCEAN PERCH,B,1,210,0.6,97.39,162,100,2018,2018-10-08T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,WG,2
HAUL,j22810003819000000990,301,U,ATL,22810,3819,990,22810003819000000990,A117,2018-07-30T00:00:00Z,486,NA,301,PACIFIC OCEAN PERCH,B,114,278,67.22,4308.45,7307,100,2018,2018-07-30T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j23070005137000000368,301,U,ATL,23070,5137,368,23070005137000000368,A439,2018-11-07T00:00:00Z,176,NA,301,PACIFIC OCEAN PERCH,B,324,205,205.2,15721,24823,100,2018,2018-11-07T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,2
HAUL,j23048001674000000148,301,U,ATL,23048,1674,148,23048001674000000148,A079,2018-10-30T00:00:00Z,172,NA,301,PACIFIC OCEAN PERCH,B,483,488,322.5,13127.48,19661,100,2018,2018-10-30T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22662001571000000048,301,U,ATL,22662,1571,48,22662001571000000048,A202,2018-05-26T00:00:00Z,149,NA,301,PACIFIC OCEAN PERCH,B,4,187,2.01,115.59,230,100,2018,2018-05-26T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j23069001235000000520,301,U,ATL,23069,1235,520,23069001235000000520,A326,2018-11-04T00:00:00Z,122,NA,301,PACIFIC OCEAN PERCH,B,100,269,48.7,970.19,1992,100,2018,2018-11-04T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22713002800000003672,301,U,ATL,22713,2800,3672,22713002800000003672,A066,2018-07-18T00:00:00Z,633,NA,301,PACIFIC OCEAN PERCH,B,196,191,132.22,9668.03,14332,100,2018,2022-06-30T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22956003367000003484,301,U,ATL,22956,3367,3484,22956003367000003484,A035,2018-09-10T00:00:00Z,726,NA,301,PACIFIC OCEAN PERCH,B,222,266,172.54,6500.1,8363,99,2018,2023-02-28T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,WG,1
HAUL,j22956003367000003448,301,U,ATL,22956,3367,3448,22956003367000003448,A035,2018-09-06T00:00:00Z,708,NA,301,PACIFIC OCEAN PERCH,B,370,398,227.36,8938.52,14546,99,2018,2023-02-28T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,WG,1
HAUL,j22794004093000000838,301,U,ATL,22794,4093,838,22794004093000000838,A264,2018-07-03T00:00:00Z,405,NA,301,PACIFIC OCEAN PERCH,B,467,352,295.58,17495.88,27643,100,2018,2018-07-03T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j22824001879000003790,301,U,ATL,22824,1879,3790,22824001879000003790,A032,2018-07-20T00:00:00Z,555,NA,301,PACIFIC OCEAN PERCH,B,520,338,330.86,22481.66,35334,100,2018,2018-07-20T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
HAUL,j23069001235000000510,301,U,ATL,23069,1235,510,23069001235000000510,A326,2018-10-30T00:00:00Z,117,NA,301,PACIFIC OCEAN PERCH,B,403,293,291.9,55455.91,76563,100,2018,2018-10-30T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,2
HAUL,j22797003819000001100,301,U,ATL,22797,3819,1100,22797003819000001100,A117,2018-08-25T00:00:00Z,541,NA,301,PACIFIC OCEAN PERCH,B,98,117,64.18,1264.68,1931,100,2018,2018-08-25T00:00:00Z,2023-06-27T23:45:01Z,141,NA,2023-06-28T02:56:22Z,CG,1
