record_type,join_key,species_key,sex_key,t_table,cruise,permit,vessel,gear,nmfs_area,latdd_start,londd_start,latdd_end,londd_end,length_seq,performance,fishing_depth_fathoms,bottom_depth_fathoms,length,weight,species,sex,haul_offload_date,haul_offload,specimen_number,age,maturity_code,maturity_description,specimen_type,specimen_type_description,haul_join,port_join,year,viability,injury,special_project_code,sample_system,akfin_load_date,gear_description,gear_performance_description,akr_gear,fmp_gear,fmp_area,fmp_subarea,species_name,akr_species_code,deployment_trip_pk,deployment_trip_start_date,deployment_trip_end_date,sampling_strata,sampling_strata_name,sampling_strata_deployment_category,sampling_strata_selection_rate,monitoring_status,landing_report_id,akfin_vdate,gear_type,haul_seq
HAUL,22654000435e9,301,F,ATL_HAUL,22654,435,A015,2,630,57.62861,-149.62861,57.90028,-149.79472,1569,1,118,120,41,0.9,301,F,2018-05-09T00:00:00Z,40,11,NA,NA,NA,3,Length-Weight Sample,22654000435e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,PELAGIC,NO PROBLEM,PTR,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,731674,2018-05-08T00:00:00Z,2018-05-09T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,2,254
HAUL,22654000435e9,301,F,ATL_HAUL,22654,435,A015,2,630,57.62861,-149.62861,57.90028,-149.79472,1569,1,118,120,41,NA,301,F,2018-05-09T00:00:00Z,40,11,NA,NA,NA,1,Otoliths,22654000435e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,PELAGIC,NO PROBLEM,PTR,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,731674,2018-05-08T00:00:00Z,2018-05-09T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,2,254
HAUL,22794004093e9,301,M,ATL_HAUL,22794,4093,A264,1,610,52.54333,-169.56833,52.5,-169.85333,8242,1,120,120,35,0.42,301,M,2018-07-18T00:00:00Z,463,46302,NA,NA,NA,3,Length-Weight Sample,22794004093e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,WG,PACIFIC OCEAN PERCH,141,741541,2018-07-09T00:00:00Z,2018-07-21T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,954
HAUL,22794004093e9,301,M,ATL_HAUL,22794,4093,A264,1,610,52.54333,-169.56833,52.5,-169.85333,8242,1,120,120,35,NA,301,M,2018-07-18T00:00:00Z,463,46302,NA,NA,NA,1,Otoliths,22794004093e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,WG,PACIFIC OCEAN PERCH,141,741541,2018-07-09T00:00:00Z,2018-07-21T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,954
HAUL,22794004093e9,301,M,ATL_HAUL,22794,4093,A264,1,610,52.54333,-169.56833,52.5,-169.85333,8243,1,120,120,39,0.7,301,M,2018-07-18T00:00:00Z,463,46304,NA,NA,NA,3,Length-Weight Sample,22794004093e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,WG,PACIFIC OCEAN PERCH,141,741541,2018-07-09T00:00:00Z,2018-07-21T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,954
HAUL,22794004093e9,301,M,ATL_HAUL,22794,4093,A264,1,610,52.54333,-169.56833,52.5,-169.85333,8243,1,120,120,39,NA,301,M,2018-07-18T00:00:00Z,463,46304,23,NA,NA,1,Otoliths,22794004093e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,WG,PACIFIC OCEAN PERCH,141,741541,2018-07-09T00:00:00Z,2018-07-21T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,954
HAUL,22794004093e9,301,F,ATL_HAUL,22794,4093,A264,1,610,52.54333,-169.56833,52.5,-169.85333,8244,1,120,120,31,0.46,301,F,2018-07-18T00:00:00Z,463,46303,NA,NA,NA,3,Length-Weight Sample,22794004093e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,WG,PACIFIC OCEAN PERCH,141,741541,2018-07-09T00:00:00Z,2018-07-21T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,954
HAUL,22794004093e9,301,F,ATL_HAUL,22794,4093,A264,1,610,52.54333,-169.56833,52.5,-169.85333,8244,1,120,120,31,NA,301,F,2018-07-18T00:00:00Z,463,46303,NA,NA,NA,1,Otoliths,22794004093e9,NA,2018,NA,NA,NA,6,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,WG,PACIFIC OCEAN PERCH,141,741541,2018-07-09T00:00:00Z,2018-07-21T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,954
HAUL,22810003819e9,301,M,ATL_HAUL,22810,3819,A117,1,630,57.96667,-149.68333,57.93333,-149.65,9767,1,64,64,37,0.68,301,M,2018-07-31T00:00:00Z,490,49002,NA,NA,NA,3,Length-Weight Sample,22810003819e9,NA,2018,NA,NA,NA,10,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,740262,2018-07-27T00:00:00Z,2018-07-31T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,998
HAUL,22810003819e9,301,M,ATL_HAUL,22810,3819,A117,1,630,57.96667,-149.68333,57.93333,-149.65,9767,1,64,64,37,NA,301,M,2018-07-31T00:00:00Z,490,49002,NA,NA,NA,1,Otoliths,22810003819e9,NA,2018,NA,NA,NA,10,2023-06-27T23:45:01Z,NON PELAGIC,NO PROBLEM,NPT,TRW,GOA,CG,PACIFIC OCEAN PERCH,141,740262,2018-07-27T00:00:00Z,2018-07-31T00:00:00Z,F,Full Coverage,Full Selection,100,AT_SEA,NA,2023-06-28T02:45:20Z,1,998
