"year","obs","pred"
1961,16000,16223.3
1962,65000,67434.7
1963,136300,144664
1964,243400,263733
1965,348600,369801
1966,200800,199685
1967,120000,119348
1968,100200,100419
1969,72600,72687.7
1970,44900,44925
1971,77500,77048.3
1972,77600,76532.9
1973,56400,55571.1
1974,51000,50536.3
1975,50400,50172.2
1976,45500,44985.8
1977,21600,21439.4
1978,8000,7990.13
1979,8300,8298.04
1980,10800,10809.9
1981,10500,10525.9
1982,5400,5413.07
1983,2821,2828.17
1984,2752,2759.48
1985,800,803.333
1986,2200,2206.62
1987,4500,4511.8
1988,8540,8563.64
1989,11780,11812.9
1990,13090,13009.4
1991,6548.13,6530.14
1992,6537.64,6516.97
1993,2059.76,2067.96
1994,1841.23,1848.97
1995,5740.72,5757.36
1996,8378.43,8432.61
1997,9518.82,9579.04
1998,8907.93,8955.25
1999,10473.1,10545.8
2000,10145.5,10204
2001,10817.1,10876.7
2002,11733.8,11779.2
2003,10846.3,10800.1
2004,11639.9,11575.5
2005,11247.5,11191.9
2006,13595.3,13503.7
2007,12954.8,12857.5
2008,12461.2,12378.6
2009,12986.4,12833.4
2010,15615.7,15398.1
2011,14223.6,13999.3
2012,14916,14682.3
2013,13181.4,13053.6
2014,17712.1,17482
2015,18732.8,18494.9
2016,23034.5,22693.9
2017,23860.2,23655.8
2018,24737,24521.7
2019,25470.3,25247.7
2020,25191.2,24979.9
2021,28899.9,28788.2
2022,29484,29362.2
2023,29939.5,29937.9
