"weight","value","variable","model"
50,0.913295,"SSQ Catch Likelihood","2023-09-25-Mprofile_M=0.03"
1,14.7077,"Bottom Trawl Survey Likelihood","2023-09-25-Mprofile_M=0.03"
1,22.9432,"Fishery Age Composition Likelihood","2023-09-25-Mprofile_M=0.03"
1,22.4058,"Bottom Trawl Survey Age Composition Likelihood","2023-09-25-Mprofile_M=0.03"
1,75.9169,"Fishery Size Composition Likelihood","2023-09-25-Mprofile_M=0.03"
0,0,"Fishery CPUE Likelihood","2023-09-25-Mprofile_M=0.03"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-25-Mprofile_M=0.03"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.03"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.03"
1,43.3052,"Recruitment Deviations Likelihood","2023-09-25-Mprofile_M=0.03"
0.1,4.34082,"Fishing Mortality Deviations Penalty","2023-09-25-Mprofile_M=0.03"
1,2.84473,"Priors SigmaR","2023-09-25-Mprofile_M=0.03"
1,2.80366,"Priors q Bottom Trawl Survey","2023-09-25-Mprofile_M=0.03"
1,0,"Priors M","2023-09-25-Mprofile_M=0.03"
1,0,"Priors q Alternative Survey","2023-09-25-Mprofile_M=0.03"
1,103.516,"Maturity Likelihood","2023-09-25-Mprofile_M=0.03"
1,293.697,"Objective Function","2023-09-25-Mprofile_M=0.03"
1,136.887,"Data Likelihood","2023-09-25-Mprofile_M=0.03"
