"year","obs","pred"
1961,16000,16032.1
1962,65000,65167.8
1963,136300,136909
1964,243400,244979
1965,348600,349634
1966,200800,199878
1967,120000,119587
1968,100200,100009
1969,72600,72518.6
1970,44900,44881.5
1971,77500,77371
1972,77600,77422
1973,56400,56296.7
1974,51000,50943.2
1975,50400,50371.7
1976,45500,45482
1977,21600,21604.2
1978,8000,8015.19
1979,8300,8315.52
1980,10800,10816.6
1981,10500,10517.8
1982,5400,5414.45
1983,2821,2831.56
1984,2752,2762.47
1985,800,804.82
1986,2200,2209.27
1987,4500,4514.43
1988,8540,8563.53
1989,11780,11813.7
1990,13090,13110.1
1991,6548.13,6564.13
1992,6537.64,6554.38
1993,2059.76,2069.32
1994,1841.23,1850.49
1995,5740.72,5757.89
1996,8378.43,8393.08
1997,9518.82,9534.36
1998,8907.93,8923.8
1999,10473.1,10489.5
2000,10145.5,10162.3
2001,10817.1,10834.2
2002,11733.8,11750.9
2003,10846.3,10850.4
2004,11639.9,11641.3
2005,11247.5,11247
2006,13595.3,13586.9
2007,12954.8,12921.9
2008,12461.2,12429.7
2009,12986.4,12942.1
2010,15615.7,15542.6
2011,14223.6,14155.3
2012,14916,14834.9
2013,13181.4,13126.2
2014,17712.1,17599.6
2015,18732.8,18615.9
2016,23034.5,22848.3
2017,23860.2,23703
2018,24737,24562.6
2019,25470.3,25327.8
2020,25191.2,25051.2
2021,28899.9,28781.1
2022,29484,29376.3
2023,30380.7,30314.3
