"weight","value","variable","model"
50,0.0401873,"SSQ Catch Likelihood","2023-09-27-Mprofile_M=0.23"
1,30.7197,"Bottom Trawl Survey Likelihood","2023-09-27-Mprofile_M=0.23"
1,31.7957,"Fishery Age Composition Likelihood","2023-09-27-Mprofile_M=0.23"
1,59.1387,"Bottom Trawl Survey Age Composition Likelihood","2023-09-27-Mprofile_M=0.23"
1,63.558,"Fishery Size Composition Likelihood","2023-09-27-Mprofile_M=0.23"
0,0,"Fishery CPUE Likelihood","2023-09-27-Mprofile_M=0.23"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-27-Mprofile_M=0.23"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.23"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.23"
1,-55.5316,"Recruitment Deviations Likelihood","2023-09-27-Mprofile_M=0.23"
0.1,7.48887,"Fishing Mortality Deviations Penalty","2023-09-27-Mprofile_M=0.23"
1,26.3107,"Priors SigmaR","2023-09-27-Mprofile_M=0.23"
1,0.298616,"Priors q Bottom Trawl Survey","2023-09-27-Mprofile_M=0.23"
1,0,"Priors M","2023-09-27-Mprofile_M=0.23"
1,0,"Priors q Alternative Survey","2023-09-27-Mprofile_M=0.23"
1,103.529,"Maturity Likelihood","2023-09-27-Mprofile_M=0.23"
1,267.964,"Objective Function","2023-09-27-Mprofile_M=0.23"
1,185.252,"Data Likelihood","2023-09-27-Mprofile_M=0.23"
