"variable","year","Q1","median","Q3"
"log_F_devs",1961,-1.06467793009138,-0.826522425320332,-0.605767395116025
"log_F_devs.1",1962,0.240537234939902,0.470785404023091,0.702630768584106
"log_F_devs.2",1963,0.881845141391581,1.1275152000887,1.35962359657277
"log_F_devs.3",1964,1.50502701289526,1.73463136861568,1.97010456459547
"log_F_devs.4",1965,2.03053762288379,2.25765268354398,2.47944752371138
"log_F_devs.5",1966,1.63519901312923,1.86791288097369,2.08612217349223
"log_F_devs.6",1967,1.27787286516324,1.49833166726793,1.71542782977325
"log_F_devs.7",1968,1.24959607791709,1.47454946893059,1.691114613174
"log_F_devs.8",1969,1.05953807541612,1.28557088289686,1.50269010418816
"log_F_devs.9",1970,0.623275191974458,0.861257123728466,1.08780469498653
"log_F_devs.10",1971,1.21769844480098,1.44339111693763,1.6647665026615
"log_F_devs.11",1972,1.31420793124707,1.5462185463361,1.75672339790947
"log_F_devs.12",1973,1.11149738812591,1.33273779640933,1.55228917195025
"log_F_devs.13",1974,1.15898022372439,1.38108395571106,1.59125774602015
"log_F_devs.14",1975,1.34423613287915,1.57023439126345,1.78359042186159
"log_F_devs.15",1976,1.47647012729711,1.69955210245473,1.92386264218104
"log_F_devs.16",1977,1.04760206549021,1.27293734551162,1.50094081722226
"log_F_devs.17",1978,0.109466498319307,0.336048571173469,0.568916530092059
"log_F_devs.18",1979,0.142505367898228,0.374792085627182,0.600516560998458
"log_F_devs.19",1980,0.418680288796082,0.658078589120815,0.878084896828787
"log_F_devs.20",1981,0.430942475918289,0.659595498411731,0.884660622827294
"log_F_devs.21",1982,-0.23861505994519,-0.00250530620287481,0.212610419570028
"log_F_devs.22",1983,-0.936451224962358,-0.711338907823303,-0.488745588063972
"log_F_devs.23",1984,-1.03050282705041,-0.806371874835551,-0.598329041032435
"log_F_devs.24",1985,-2.34715523120696,-2.12191553236156,-1.92048789157335
"log_F_devs.25",1986,-1.4092910453137,-1.19988938085417,-0.989931507687169
"log_F_devs.26",1987,-0.752323099625028,-0.540129428865919,-0.335952749226058
"log_F_devs.27",1988,-0.159880003508621,0.0589303833462455,0.269777964949634
"log_F_devs.28",1989,0.14241278070891,0.360543372025359,0.559724953302678
"log_F_devs.29",1990,0.213474272027685,0.422172072405701,0.633168130731945
"log_F_devs.30",1991,-0.571669971670216,-0.350406564325479,-0.150329956503217
"log_F_devs.31",1992,-0.700125490062466,-0.488627436913644,-0.278116883327291
"log_F_devs.32",1993,-2.00722575819607,-1.79611164615483,-1.59707835718191
"log_F_devs.33",1994,-2.28843389853176,-2.07647531240579,-1.87029326938509
"log_F_devs.34",1995,-1.28185473689208,-1.07268419914317,-0.867747256234187
"log_F_devs.35",1996,-0.813056240719955,-0.602421765288905,-0.396465099392336
"log_F_devs.36",1997,-0.75306033605668,-0.544352688633906,-0.34244889397809
"log_F_devs.37",1998,-0.869288340116531,-0.654583338851044,-0.443828705393164
"log_F_devs.38",1999,-0.717785059181423,-0.507635970292081,-0.302299799453176
"log_F_devs.39",2000,-0.743415739356079,-0.539476809340401,-0.339713043495127
