"age","fish1","fish2","fish3","fish4","srv1"
2,0.000121408,0.00006161,0.00000181529,0.0000628371,0.0152466
3,0.000664506,0.000424415,0.000184682,0.000926908,0.020509
4,0.00362823,0.0029424,0.00226094,0.00420969,0.0275378
5,0.0195517,0.0155805,0.0116318,0.0118032,0.0368866
6,0.0984541,0.0677977,0.0372133,0.0254084,0.0492515
7,0.374235,0.23111,0.0881571,0.0462761,0.0654849
8,0.766085,0.467744,0.169732,0.0750997,0.0865913
9,0.947188,0.61371,0.280775,0.112008,0.113689
10,0.989921,0.701375,0.41363,0.156623,0.147922
11,0.998144,0.776585,0.556103,0.208147,0.190296
12,0.999661,0.846327,0.694338,0.265467,0.241445
13,0.999938,0.906962,0.815566,0.32726,0.301342
14,0.999989,0.954144,0.910061,0.392087,0.369046
15,0.999998,0.985108,0.972099,0.458477,0.442582
16,1,0.999032,1,0.524997,0.51907
17,1,0.996797,0.995521,0.590301,0.59513
18,1,0.980527,0.962918,0.653176,0.667456
19,1,0.953082,0.907922,0.712562,0.733367
20,1,0.917594,0.836808,0.76757,0.791141
21,1,0.877107,0.755677,0.817485,0.840083
22,1,0.834328,0.669954,0.861768,0.880358
23,1,0.791491,0.584113,0.900044,0.912717
24,1,0.750303,0.501577,0.932092,0.938219
25,1,0.711962,0.424746,0.957831,0.958015
26,1,0.677213,0.355113,0.977303,0.9732
27,1,0.646425,0.293417,0.990653,0.984743
28,1,0.619674,0.239813,0.998117,0.993456
29,1,0.596828,0.194031,1,1
