"","Length","Wbar","SD_Wbar"
"1",90,8.33333333333333,1.52752523165195
"2",100,11.5,3.53553390593274
"3",140,32.6666666666667,1.15470053837925
"4",150,39.3333333333333,4.16333199893227
"5",160,51.8333333333333,4.91596040125088
"6",170,61.4,4.5018514709691
"7",180,71.2222222222222,3.23178657161089
"8",190,84.2857142857143,4.77861536798735
"9",200,95,11.7558496077485
"10",210,115.296296296296,14.0789390302155
"11",220,131.125,9.63378340054911
"12",230,150.772727272727,8.89586216374577
"13",240,178.222222222222,17.1243052432897
"14",250,192.6,11.4726218725965
"15",260,218.782608695652,18.9087678598127
"16",270,256.083333333333,22.0037875527525
"17",280,280.928571428571,17.9506343822516
"18",290,318.5,32.562028718827
"19",300,346.117647058824,28.3568385776279
"20",310,392.8,31.8662382916017
"21",320,444.722222222222,35.6136219073472
"22",330,480.041666666667,37.3624773020329
"23",340,536.276923076923,36.7234205294743
"24",350,568.3,41.5334457834173
"25",360,624.426666666667,38.9913966024431
"26",370,674.79,42.1043185001686
"27",380,726.158415841584,56.6716388810607
"28",390,791.459677419355,51.786208289474
"29",400,849.628571428571,61.5575492375376
"30",410,897.375,61.4494492255755
"31",420,948.839285714286,71.0804350489869
"32",430,1005.88235294118,62.1375623020517
"33",440,1062.3,66.0192157035
"34",450,1125.1,94.8255122726884
"35",460,1221,72.1248916810278
"36",480,1504.33333333333,103.316665322364
