"","Length","Wbar","SD_Wbar"
"1",90,8,2.82842712474619
"2",100,11.3333333333333,2.42212028327799
"3",110,17.3333333333333,2.3094010767585
"4",130,28,2
"5",140,32.75,4.89168390521827
"6",150,44.5714285714286,3.77964473009227
"7",160,54.5454545454545,6.75816005083686
"8",170,65,8.13224036372102
"9",180,78.0487804878049,7.66143334994241
"10",190,91.0344827586207,8.54495956329192
"11",200,106.75,10.2384274586187
"12",210,122.641509433962,12.1451071813725
"13",220,140.31746031746,12.5734299947579
"14",230,161.44578313253,15.2293466798106
"15",240,185.506172839506,15.7211032189142
"16",250,210.64,17.9783933170522
"17",260,232.317073170732,19.1793858272529
"18",270,263.313432835821,21.2875044833347
"19",280,300.62962962963,26.3182957355957
"20",290,326.47619047619,25.8090909444224
"21",300,375.148936170213,30.0774209140954
"22",310,407.59375,31.4600874629204
"23",320,456.458823529412,33.057508671281
"24",330,500.45045045045,36.9940385218874
"25",340,550.42962962963,41.263901455081
"26",350,594.160583941606,35.4451178038259
"27",360,639.95625,58.0455629835345
"28",370,684.24,51.0895621013206
"29",380,739.751824817518,47.9898550893676
"30",390,792.242424242424,65.7596968395485
"31",400,850.137931034483,59.4576790011509
"32",410,913.745098039216,63.1645166517696
"33",420,983.333333333333,75.9710987358828
"34",430,1037.91836734694,71.9918504458126
"35",440,1124.33333333333,84.8562296484173
"36",450,1212,97.573640828942
"37",460,1182.28571428571,165.176384798912
"38",470,1487,114.551298552221
