"","Length","Wbar","SD_Wbar"
"1",120,24.3333333333333,1.50554530541816
"2",130,30.4615384615385,2.84650032541085
"3",140,37.5294117647059,4.82335006840193
"4",150,47.5555555555556,5.54777232569775
"5",160,54.8,4.38178046004133
"6",170,68.5,6.42910050732864
"7",180,79.9130434782609,7.78058798595033
"8",190,97.0454545454545,9.47445659104311
"9",200,109.25,9.97550190706575
"10",210,127.522727272727,9.76821765267014
"11",220,150.904761904762,10.7947808613407
"12",230,167.9375,9.67183306507663
"13",240,189.666666666667,13.4531968597477
"14",250,214.1875,19.6902423845236
"15",260,238.2,19.4429315229699
"16",270,277.92,19.3690474727076
"17",280,309.6875,26.3480886250511
"18",290,342.944444444444,29.4772982328963
"19",300,382.2,28.4367416533974
"20",310,419.545454545455,33.4131672593337
"21",320,461.953488372093,41.6824466243183
"22",330,520.160714285714,39.2557010501031
"23",340,558.558823529412,34.3795246044516
"24",350,609.4375,33.1393761855629
"25",360,658.65625,41.9811820088137
"26",370,704.461538461538,40.3202325619056
"27",380,756.628571428571,51.3273584218717
"28",390,822.763636363636,57.1294707745173
"29",400,871.418604651163,71.0242187259085
"30",410,939.837837837838,61.5744867409986
"31",420,1009.19047619048,51.8783375288945
"32",430,1087.875,55.1094365785026
"33",440,1185.25,60.6435722656809
"34",450,1258.625,90.9300162605443
"35",460,1296,79.5864310042862
"36",470,1409.5,45.5302097513288
"37",480,1419.33333333333,59.1382560897202
