"","Length","Wbar","SD_Wbar"
"1",120,27.6,9.52890339965728
"2",130,31,2
"3",140,34,2.82842712474619
"4",150,42.6666666666667,4.13118223595458
"5",160,53,3.82970843102535
"6",180,81,1.4142135623731
"7",190,91.3333333333333,13.2664991614216
"8",200,102,10.5451410611713
"9",210,116.363636363636,10.6515043751831
"10",220,126.8,15.0066651858433
"11",230,158.363636363636,11.3072784282755
"12",240,185.6,14.6619039886172
"13",250,208.173913043478,21.4129361366463
"14",260,232.25,23.5265807120372
"15",270,254.068965517241,23.9194049055256
"16",280,282.965517241379,32.4064397905953
"17",290,332.117647058824,32.4025482592008
"18",300,362.5,39.088219310796
"19",310,411.41935483871,47.8056999345952
"20",320,457.809523809524,43.2075185955216
"21",330,501.052631578947,50.6234068718046
"22",340,541.107692307692,43.5789954697655
"23",350,584.138888888889,49.3556525454245
"24",360,619.138888888889,45.9010894821621
"25",370,672.794117647059,48.6475471681614
"26",380,716.59649122807,60.4600988991686
"27",390,764.355555555556,47.515143784786
"28",400,848.564102564103,60.2153131738164
"29",410,917,59.7575561518489
"30",420,997.354838709677,85.3813205125871
"31",430,1037.73333333333,98.4214455918066
"32",440,1150.61538461538,80.346684708143
"33",450,1192.66666666667,118.915936694793
"34",460,1300.66666666667,54.6504040851179
"35",470,1165.33333333333,59.8776530379518
"36",480,1406,32.0416395751944
