"year","obs","pred"
1961,16000,16126.7
1962,65000,66247.7
1963,136300,139960
1964,243400,250824
1965,348600,353989
1966,200800,197528
1967,120000,118598
1968,100200,99702
1969,72600,72340.5
1970,44900,44792
1971,77500,76808.3
1972,77600,76530.6
1973,56400,55700.5
1974,51000,50678.3
1975,50400,50355.4
1976,45500,45360.6
1977,21600,21571.1
1978,8000,8010.39
1979,8300,8322.41
1980,10800,10855.3
1981,10500,10571.9
1982,5400,5426.9
1983,2821,2832.87
1984,2752,2764.19
1985,800,804.03
1986,2200,2210.14
1987,4500,4525.21
1988,8540,8610.46
1989,11780,11900.9
1990,13090,13117
1991,6548.13,6558.81
1992,6537.64,6546.77
1993,2059.76,2068.53
1994,1841.23,1849.77
1995,5740.72,5760.12
1996,8378.43,8416.44
1997,9518.82,9563.28
1998,8907.93,8946.96
1999,10473.1,10528.5
2000,10145.5,10195.2
2001,10817.1,10868.4
2002,11733.8,11781.3
2003,10846.3,10838.3
2004,11639.9,11622.1
2005,11247.5,11229.1
2006,13595.3,13556
2007,12954.8,12909.3
2008,12461.2,12420.7
2009,12986.4,12904.5
2010,15615.7,15488.7
2011,14223.6,14094.3
2012,14916,14775.1
2013,13181.4,13105.5
2014,17712.1,17562
2015,18732.8,18584.5
2016,23034.5,22808.9
2017,23860.2,23721.3
2018,24737,24586.6
2019,25470.3,25343.8
2020,25191.2,25068.2
2021,28899.9,28841.6
2022,29484,29419.4
2023,30380.7,30383.2
