"","q=0.2","q=0.4","q=0.6","q=0.8","q=1","q=1.2","q=1.4","q=1.6","q=1.8","q=2","q=2.2","q=2.4","q=2.6","q=2.8","q=3","q=3.2","q=3.4","q=3.6","q=3.8","q=4"
"M=0.01",75.0838,74.215,71.4822,69.1833,69.6401,66.8355,66.2945,67.2797,66.892,66.6638,66.5634,66.538,66.5648,66.6146,66.6927,NA,NA,NA,NA,NA
"M=0.02",75.1199,74.032,71.2073,68.7488,67.1564,66.1248,65.4536,66.546,66.0868,65.7781,65.595,65.4919,65.4498,65.4273,65.4132,NA,NA,NA,NA,NA
"M=0.03",75.1375,73.9256,71.0726,68.5301,66.8516,65.7459,65.007,66.1089,65.6278,65.2766,65.048,64.9001,64.8208,64.7689,64.7293,NA,NA,NA,NA,NA
"M=0.04",75.1486,73.8605,70.9849,68.3897,66.653,65.4952,64.709,65.8112,63.8911,64.9284,64.6689,64.4894,64.3821,64.3088,64.2539,NA,NA,NA,NA,NA
"M=0.05",75.1567,73.8117,70.9148,68.2885,66.5091,65.3115,64.4768,65.5812,65.062,64.6626,64.3801,64.1763,64.0463,63.955,63.8877,NA,NA,NA,NA,NA
"M=0.06",75.1628,73.7729,70.8649,68.2104,66.3978,65.1685,64.3048,63.733,63.362,64.448,64.1475,63.9241,63.7752,63.6679,63.5895,NA,NA,NA,NA,NA
"M=0.07",75.1678,73.7407,70.8242,68.1397,66.3079,65.0525,64.1646,63.5688,63.1722,62.9295,63.9532,63.0183,63.5483,63.4266,63.3378,NA,NA,NA,NA,NA
"M=0.08",75.1719,73.7133,70.7899,68.0875,66.2332,64.9449,64.0472,63.4308,64.552,64.1142,63.7865,62.7071,63.3536,63.2188,63.12,NA,NA,NA,NA,NA
"M=0.09",75.1755,73.6895,70.7604,68.0428,66.1604,64.8623,63.9466,63.3123,64.4253,63.979,63.6407,62.4664,63.1832,63.0364,62.928,NA,NA,NA,NA,NA
"M=0.1",75.1786,73.5473,70.7345,68.004,66.1054,64.7905,63.8589,63.2089,64.3121,63.8588,63.5112,62.2652,63.0318,62.8739,62.7564,NA,NA,NA,NA,NA
"M=0.11",75.1813,73.6494,70.7114,67.9698,66.0569,64.7273,63.7815,63.1174,64.2098,63.7504,63.3947,62.0918,62.8957,62.7276,62.6012,NA,NA,NA,NA,NA
"M=0.12",75.1838,73.6322,70.6906,67.9391,66.0138,64.6619,63.7124,63.0356,64.1163,63.6519,63.2889,61.9394,62.7721,62.5945,62.4596,NA,NA,NA,NA,NA
"M=0.13",75.6661,73.6165,70.6717,67.9115,65.975,64.6113,63.6501,62.9618,64.0301,62.1195,63.192,61.8035,62.6589,62.4724,62.3293,NA,NA,NA,NA,NA
"M=0.14",75.188,73.602,70.6544,67.8864,65.9397,64.5654,63.5935,62.8946,63.9501,62.03,63.1027,61.681,61.7193,62.3596,62.2087,NA,NA,NA,NA,NA
"M=0.15",75.1898,73.4699,70.6384,67.8633,65.9075,64.5235,63.5418,62.8331,62.3205,63.4003,63.0197,61.5697,62.4577,62.2549,62.0963,NA,NA,NA,NA,NA
