"","wt_FS"
"Init",1
"Iter_1",0.484254978933046
"Iter_2",0.489457730611223
"Iter_3",0.493823801172094
"Iter_4",0.509018601117884
"Iter_5",0.49545232716773
"Iter_6",0.495628681740551
"Iter_7",0.509745918468419
"Iter_8",0.509959855430003
"Iter_9",0.495650076637115
"Iter_10",0.509793443393512
