"","wt_SA"
"Init",1
"Iter_1",1.0960978401278
"Iter_2",0.880197574694828
"Iter_3",0.813734583624547
"Iter_4",0.794130313564055
"Iter_5",0.785195157358887
"Iter_6",0.783000545185016
"Iter_7",0.784049175969294
"Iter_8",0.783812643829509
"Iter_9",0.781779045032881
"Iter_10",0.783620225172672
