"","wt_FA"
"Init",1
"Iter_1",4.32590753288909
"Iter_2",4.35502460418271
"Iter_3",4.38856815909825
"Iter_4",4.40230081577122
"Iter_5",4.4022076469336
"Iter_6",4.40598014194394
"Iter_7",4.40835262724109
"Iter_8",4.40581292723102
"Iter_9",4.40343744567153
"Iter_10",4.40788619368234
