"","SSQ_ESS_diff"
"Iter_1",0.00923479487722797
"Iter_2",0.0466129246140274
"Iter_3",0.00441732918200823
"Iter_4",0.000384327404604678
"Iter_5",7.98370164107531e-05
"Iter_6",4.81632259370261e-06
"Iter_7",1.09962652173543e-06
"Iter_8",5.59474531515468e-08
"Iter_9",4.13552406564509e-06
"Iter_10",3.38994430716146e-06
