"year","obs","pred"
1961,16000,16091.3
1962,65000,65842.4
1963,136300,138595
1964,243400,248443
1965,348600,351076
1966,200800,197594
1967,120000,118792
1968,100200,99828.4
1969,72600,72457.1
1970,44900,44849.5
1971,77500,77117
1972,77600,76948.1
1973,56400,55971.5
1974,51000,50856.8
1975,50400,50477.5
1976,45500,45541.7
1977,21600,21607.8
1978,8000,8012.35
1979,8300,8318.94
1980,10800,10837.9
1981,10500,10546.8
1982,5400,5420.53
1983,2821,2831.91
1984,2752,2763.2
1985,800,804.293
1986,2200,2209.75
1987,4500,4521.44
1988,8540,8595.35
1989,11780,11874.9
1990,13090,13123.8
1991,6548.13,6563.44
1992,6537.64,6552.31
1993,2059.76,2068.56
1994,1841.23,1849.87
1995,5740.72,5757.87
1996,8378.43,8402.05
1997,9518.82,9546.12
1998,8907.93,8933.88
1999,10473.1,10506.4
2000,10145.5,10177.4
2001,10817.1,10849.8
2002,11733.8,11765
2003,10846.3,10840
2004,11639.9,11626.9
2005,11247.5,11232.4
2006,13595.3,13563.4
2007,12954.8,12913.4
2008,12461.2,12422.8
2009,12986.4,12918.5
2010,15615.7,15505.8
2011,14223.6,14115.8
2012,14916,14794.2
2013,13181.4,13110.7
2014,17712.1,17567.6
2015,18732.8,18590.5
2016,23034.5,22811.2
2017,23860.2,23704.8
2018,24737,24566.9
2019,25470.3,25342.7
2020,25191.2,25066.5
2021,28899.9,28830.5
2022,29484,29414.9
2023,30380.7,30373
