"weight","value","variable","model"
50,0.02864,"SSQ Catch Likelihood","2023-09-27-Mprofile_M=0.25"
1,32.2309,"Bottom Trawl Survey Likelihood","2023-09-27-Mprofile_M=0.25"
1,34.5166,"Fishery Age Composition Likelihood","2023-09-27-Mprofile_M=0.25"
1,61.7649,"Bottom Trawl Survey Age Composition Likelihood","2023-09-27-Mprofile_M=0.25"
1,63.0287,"Fishery Size Composition Likelihood","2023-09-27-Mprofile_M=0.25"
0,0,"Fishery CPUE Likelihood","2023-09-27-Mprofile_M=0.25"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-27-Mprofile_M=0.25"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.25"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.25"
1,-60.6941,"Recruitment Deviations Likelihood","2023-09-27-Mprofile_M=0.25"
0.1,7.39779,"Fishing Mortality Deviations Penalty","2023-09-27-Mprofile_M=0.25"
1,28.1879,"Priors SigmaR","2023-09-27-Mprofile_M=0.25"
1,0.364131,"Priors q Bottom Trawl Survey","2023-09-27-Mprofile_M=0.25"
1,0,"Priors M","2023-09-27-Mprofile_M=0.25"
1,0,"Priors q Alternative Survey","2023-09-27-Mprofile_M=0.25"
1,103.566,"Maturity Likelihood","2023-09-27-Mprofile_M=0.25"
1,272.208,"Objective Function","2023-09-27-Mprofile_M=0.25"
1,191.57,"Data Likelihood","2023-09-27-Mprofile_M=0.25"
