"year","obs","pred"
1961,16000,16025.5
1962,65000,65056.5
1963,136300,136508
1964,243400,243998
1965,348600,348612
1966,200800,199941
1967,120000,119622
1968,100200,99995
1969,72600,72505.7
1970,44900,44878.4
1971,77500,77367.5
1972,77600,77435.6
1973,56400,56310.2
1974,51000,50945.5
1975,50400,50364.2
1976,45500,45475.5
1977,21600,21602.7
1978,8000,8015.05
1979,8300,8315
1980,10800,10815
1981,10500,10515.6
1982,5400,5413.8
1983,2821,2831.39
1984,2752,2762.29
1985,800,804.827
1986,2200,2209.12
1987,4500,4513.51
1988,8540,8559.59
1989,11780,11805.6
1990,13090,13106.4
1991,6548.13,6563.41
1992,6537.64,6553.79
1993,2059.76,2069.35
1994,1841.23,1850.53
1995,5740.72,5757.79
1996,8378.43,8391.47
1997,9518.82,9532.36
1998,8907.93,8921.93
1999,10473.1,10487
2000,10145.5,10159.7
2001,10817.1,10831.3
2002,11733.8,11747.7
2003,10846.3,10851
2004,11639.9,11642.3
2005,11247.5,11248.6
2006,13595.3,13589.7
2007,12954.8,12927.8
2008,12461.2,12435.9
2009,12986.4,12951.4
2010,15615.7,15557.6
2011,14223.6,14169.9
2012,14916,14852.3
2013,13181.4,13137.8
2014,17712.1,17621.9
2015,18732.8,18637.7
2016,23034.5,22882.8
2017,23860.2,23727.8
2018,24737,24590.4
2019,25470.3,25346.4
2020,25191.2,25069.7
2021,28899.9,28789
2022,29484,29381.6
2023,30380.7,30309.9
