"weight","value","variable","model"
50,0.0786774,"SSQ Catch Likelihood","2023-09-27-Mprofile_M=0.19"
1,27.1851,"Bottom Trawl Survey Likelihood","2023-09-27-Mprofile_M=0.19"
1,28.7912,"Fishery Age Composition Likelihood","2023-09-27-Mprofile_M=0.19"
1,52.1928,"Bottom Trawl Survey Age Composition Likelihood","2023-09-27-Mprofile_M=0.19"
1,63.8652,"Fishery Size Composition Likelihood","2023-09-27-Mprofile_M=0.19"
0,0,"Fishery CPUE Likelihood","2023-09-27-Mprofile_M=0.19"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-27-Mprofile_M=0.19"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.19"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.19"
1,-41.9255,"Recruitment Deviations Likelihood","2023-09-27-Mprofile_M=0.19"
0.1,7.61696,"Fishing Mortality Deviations Penalty","2023-09-27-Mprofile_M=0.19"
1,21.6733,"Priors SigmaR","2023-09-27-Mprofile_M=0.19"
1,0.162208,"Priors q Bottom Trawl Survey","2023-09-27-Mprofile_M=0.19"
1,0,"Priors M","2023-09-27-Mprofile_M=0.19"
1,0,"Priors q Alternative Survey","2023-09-27-Mprofile_M=0.19"
1,103.516,"Maturity Likelihood","2023-09-27-Mprofile_M=0.19"
1,263.156,"Objective Function","2023-09-27-Mprofile_M=0.19"
1,172.113,"Data Likelihood","2023-09-27-Mprofile_M=0.19"
