"yr","month","fleet","sex","part","Nsamp","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
1963,7,2,1,0,27,0,0,0,0,0,0.000256585699623674,0.0013684570646596,0.00153951419774205,0.00769757098871023,0.0112897707834417,0.0171912418747862,0.0319876838864181,0.0558501539514198,0.0970749230242901,0.133424563804311,0.134707492302429,0.096647280191584,0.0705610673965104,0.0798836811495039,0.069620253164557,0.0595278823126924,0.0491789257612042,0.0341258980499487,0.0241190557646254,0.013684570646596,0.00513171399247349,0.00222374273007184,0.000342114266164899,0.000684228532329798,0.00188162846390694
1964,7,2,1,0,39,0,0,0,0,0,0.000575019509590504,0.000657165153817719,0.00172505852877151,0.00308046165852056,0.00390191810079271,0.00998069577360661,0.0247258389123917,0.0504784983776235,0.085267178707849,0.11989156774962,0.124697087936912,0.0979176079188401,0.0822688626935557,0.0940156898180474,0.0932763790200025,0.0687148313960652,0.0525321394833039,0.0400870743828808,0.0244383291575964,0.0137593954080585,0.00538053969688257,0.00143754877397626,0.000492873865363289,0.000287509754795252,0.000410728221136074
1965,7,2,1,0,76,0,0,0.000226293103448276,0.000301724137931035,0.00154094827586207,0.00230603448275862,0.0037823275862069,0.00379310344827586,0.00960129310344828,0.0181896551724138,0.0249784482758621,0.0448275862068966,0.0663038793103448,0.0905387931034483,0.12292025862069,0.138405172413793,0.120323275862069,0.0939116379310345,0.0728987068965517,0.0583297413793103,0.0458836206896552,0.0329202586206897,0.0228340517241379,0.0117887931034483,0.00711206896551724,0.00367456896551724,0.00150862068965517,0.000862068965517241,0.000237068965517241,0
1966,7,2,1,0,100,0,0,0,7.41239475943691e-05,0.000463274672464807,0.00147012496062165,0.00363207343212408,0.00666497828786035,0.0121007344447807,0.0188892526452984,0.0311876509503308,0.0506884261632827,0.07876287131465,0.110889425601176,0.126789012360168,0.141589093896511,0.122693664255579,0.0896961535848194,0.0684225806252355,0.0481187959800112,0.0342143788104342,0.0232563885577333,0.0151459932917827,0.00736915579000686,0.00402740115262739,0.00224224941472966,0.00105626625321976,0.00030267278601034,0.000172955877720194,8.03009432272331e-05
1967,7,2,1,0,84,0,0,2.60041953435154e-05,6.93445209160411e-05,8.66806511450514e-05,0.000364058734809216,0.000875474576565019,0.00215834821351178,0.005062150026871,0.00895411126328381,0.0152817987968726,0.0234471161347364,0.0394396962709984,0.0605551028899329,0.0793994764488671,0.0997867655981832,0.100514883067802,0.0968656276545949,0.0902518939722275,0.0798068755092488,0.0752474732590191,0.0663106981259643,0.0540627221191686,0.0409826118613803,0.0268103253991644,0.016096596917636,0.00901478771908535,0.00451606192465718,0.00225369692977134,0.00175961721824454
1968,7,2,1,0,81,0,0,0,0,0,0.000102565058881668,0.000270398791597124,0.00124010480284198,0.00325410959542746,0.00571567100858749,0.00964111553487678,0.0143777564359574,0.0242240020885976,0.0407929211461179,0.0572499510484946,0.0780240375201634,0.0927281373252897,0.0985836697778068,0.109091926265047,0.105138509449972,0.102471817919048,0.0905742710887747,0.0725134966293392,0.0474782981659503,0.0238417141418568,0.0119255191190594,0.00565972643101567,0.00266669153092337,0.00141726263181941,0.00101632649255471
1969,7,2,1,0,86,0,0,0,0,1.68723689649645e-05,0.000379628301711702,0.00125699148788986,0.00214279085855049,0.00356850603609,0.00533166859292879,0.010950167458262,0.0206517796131166,0.0369167432953424,0.058968929532551,0.0732176451234636,0.0975813459088723,0.108438715337827,0.112277179277356,0.106152509343074,0.0892042147177674,0.0845727494368847,0.0702818529235597,0.0520512582569156,0.032799885267891,0.0172688696356412,0.00843618448248226,0.00343352708437028,0.00178003492580376,0.00109670398272269,0.00122324674995993
1970,7,2,1,0,73,0,0,0,0.000321285140562249,0.000895008605851979,0.00146873207114171,0.002122776821572,0.00426850258175559,0.00838783706253586,0.0116924842226047,0.018714859437751,0.0156626506024096,0.02938611589214,0.0448422260470453,0.0631210556511761,0.0903384968445209,0.0799082042455536,0.0745725760183591,0.0735398737808376,0.0687205966724039,0.0921858864027539,0.0990131956397017,0.0814228341939185,0.0600344234079174,0.0362363740676994,0.0203212851405622,0.0103499713138267,0.00691910499139415,0.00372920252438325,0.00182444061962134
1971,7,2,1,0,77,0,0,0,0,0,0.000270259032888445,0.00133050600806619,0.00203733732485136,0.00493742463930814,0.00858592158330215,0.0193027316951478,0.0384807284520394,0.0607147311962081,0.0745395201862708,0.083104652613197,0.0892790320568791,0.0880524718306931,0.0808802128809613,0.0709637852895929,0.0719616647956426,0.0777930231591202,0.0762234418527296,0.0681156708660763,0.0413912103446842,0.0229408340609538,0.0111949607084944,0.00502058126481227,0.0017566837137749,0.000945906615109559,0.000176707829196291
1972,7,2,1,0,83,0,0,0,0,0,0,0,0.00247159907966638,0.0104076790336497,0.0235655737704918,0.0330924647684786,0.0360314207650273,0.0425923928674144,0.0546987345412712,0.0729436295657176,0.0844208369283865,0.0916918320391142,0.094621800402646,0.0806909692263446,0.0711820534943917,0.0729166666666667,0.0677397900488927,0.058491515674432,0.0419003451251079,0.0281942047742307,0.0169596635030198,0.00855622663215416,0.00427811331607708,0.00185145240149554,0.000701035375323555
