"year","month","fleet","sex","part","nsamp","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45"
1984,7,2,1,0,118,0.161016949152542,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.0254237288135593,0.127118644067797
1987,7,2,1,0,95,0.168421052631579,0.0315789473684211,0.0315789473684211,0.0315789473684211,0.0315789473684211,0.0315789473684211,0.0315789473684211,0.0315789473684211,0.0315789473684211,0.0315789473684211,0.0210526315789474,0.0315789473684211,0.0210526315789474,0.0210526315789474,0.0210526315789474,0.0210526315789474,0.0210526315789474,0.0210526315789474,0.0210526315789474,0.0210526315789474,0.0315789473684211,0.0210526315789474,0.0315789473684211,0.0315789473684211,0.0210526315789474,0.0315789473684211,0.0210526315789474,0.0315789473684211,0.0210526315789474,0.0842105263157895
1990,7,2,1,0,97,0.164948453608247,0.0309278350515464,0.0309278350515464,0.0309278350515464,0.0309278350515464,0.0309278350515464,0.0309278350515464,0.0309278350515464,0.0309278350515464,0.0309278350515464,0.0309278350515464,0.0309278350515464,0.0309278350515464,0.0309278350515464,0.0206185567010309,0.0309278350515464,0.0309278350515464,0.0206185567010309,0.0206185567010309,0.0206185567010309,0.0206185567010309,0.0309278350515464,0.0206185567010309,0.0206185567010309,0.0206185567010309,0.0206185567010309,0.0206185567010309,0.0206185567010309,0.0206185567010309,0.0927835051546392
1993,7,2,1,0,101,0.168316831683168,0.0297029702970297,0.0297029702970297,0.0297029702970297,0.0297029702970297,0.0297029702970297,0.0297029702970297,0.0297029702970297,0.0297029702970297,0.0297029702970297,0.0297029702970297,0.0297029702970297,0.0297029702970297,0.0297029702970297,0.0297029702970297,0.0297029702970297,0.0297029702970297,0.0297029702970297,0.0297029702970297,0.0198019801980198,0.0198019801980198,0.0198019801980198,0.0198019801980198,0.0198019801980198,0.0198019801980198,0.0198019801980198,0.0198019801980198,0.0198019801980198,0.0198019801980198,0.099009900990099
1996,7,2,1,0,90,0.233333333333333,0.0333333333333333,0.0222222222222222,0.0333333333333333,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0333333333333333,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.111111111111111
1999,7,2,1,0,90,0.233333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.0222222222222222,0.1
2001,7,2,1,0,89,0.280898876404494,0.0224719101123595,0.0337078651685393,0.0337078651685393,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0224719101123595,0.0674157303370786
2003,7,2,1,0,106,0.216981132075472,0.0283018867924528,0.0283018867924528,0.0283018867924528,0.0283018867924528,0.0283018867924528,0.0283018867924528,0.0283018867924528,0.0283018867924528,0.0283018867924528,0.0283018867924528,0.0283018867924528,0.0188679245283019,0.0283018867924528,0.0188679245283019,0.0188679245283019,0.0283018867924528,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.0188679245283019,0.132075471698113
2005,7,2,1,0,94,0.234042553191489,0.0319148936170213,0.0319148936170213,0.0319148936170213,0.0319148936170213,0.0319148936170213,0.0319148936170213,0.0319148936170213,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0212765957446809,0.0957446808510638
