"year","obs","pred"
1961,16000,16172.8
1962,65000,66744.5
1963,136300,141350
1964,243400,255474
1965,348600,361265
1966,200800,199171
1967,120000,119164
1968,100200,100041
1969,72600,72464
1970,44900,44824.7
1971,77500,76812.6
1972,77600,76463.9
1973,56400,55614.5
1974,51000,50567.9
1975,50400,50204
1976,45500,45143
1977,21600,21510
1978,8000,8003.47
1979,8300,8316.75
1980,10800,10849.6
1981,10500,10570.6
1982,5400,5426.75
1983,2821,2832.45
1984,2752,2763.73
1985,800,803.82
1986,2200,2209.61
1987,4500,4523.77
1988,8540,8605.53
1989,11780,11889.9
1990,13090,13069.8
1991,6548.13,6546.16
1992,6537.64,6534.73
1993,2059.76,2068.34
1994,1841.23,1849.52
1995,5740.72,5760.14
1996,8378.43,8426.1
1997,9518.82,9573.74
1998,8907.93,8953.65
1999,10473.1,10540.6
2000,10145.5,10203.1
2001,10817.1,10875.8
2002,11733.8,11784.4
2003,10846.3,10823.4
2004,11639.9,11603
2005,11247.5,11212.9
2006,13595.3,13532
2007,12954.8,12885.4
2008,12461.2,12400.2
2009,12986.4,12870
2010,15615.7,15443.4
2011,14223.6,14047.6
2012,14916,14728.4
2013,13181.4,13078.9
2014,17712.1,17519.8
2015,18732.8,18539.2
2016,23034.5,22749.2
2017,23860.2,23686.1
2018,24737,24550.9
2019,25470.3,25299.1
2020,25191.2,25026.2
2021,28899.9,28818.7
2022,29484,29393.8
2023,30380.7,30380.8
