"weight","value","variable","model"
50,0.42141,"SSQ Catch Likelihood","2023-09-27-Mprofile_M=0.05"
1,15.1812,"Bottom Trawl Survey Likelihood","2023-09-27-Mprofile_M=0.05"
1,24.0477,"Fishery Age Composition Likelihood","2023-09-27-Mprofile_M=0.05"
1,27.4631,"Bottom Trawl Survey Age Composition Likelihood","2023-09-27-Mprofile_M=0.05"
1,70.0824,"Fishery Size Composition Likelihood","2023-09-27-Mprofile_M=0.05"
0,0,"Fishery CPUE Likelihood","2023-09-27-Mprofile_M=0.05"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-27-Mprofile_M=0.05"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.05"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.05"
1,22.7235,"Recruitment Deviations Likelihood","2023-09-27-Mprofile_M=0.05"
0.1,5.06421,"Fishing Mortality Deviations Penalty","2023-09-27-Mprofile_M=0.05"
1,5.77705,"Priors SigmaR","2023-09-27-Mprofile_M=0.05"
1,1.40789,"Priors q Bottom Trawl Survey","2023-09-27-Mprofile_M=0.05"
1,0,"Priors M","2023-09-27-Mprofile_M=0.05"
1,0,"Priors q Alternative Survey","2023-09-27-Mprofile_M=0.05"
1,103.516,"Maturity Likelihood","2023-09-27-Mprofile_M=0.05"
1,275.684,"Objective Function","2023-09-27-Mprofile_M=0.05"
1,137.196,"Data Likelihood","2023-09-27-Mprofile_M=0.05"
