"year","m","tier","tb_proj","ssb_proj","sb0","sb40","sb35","f_ofl","maxf_abc","f_abc","ofl","maxabc","abc"
2024,0.075,"3a",649919,226218,339017,135607,118656,0.122,0.101,0.101,48084,40185,40185
2025,0.075,"3a",628593,219668,339017,135607,118656,0.122,0.101,0.101,46458,38826,38826
