"year","length","value","groups","Length","Year"
1991,24,0.00427573,"pred","24","1991"
1992,24,0.00387651,"pred","24","1992"
1995,24,0.0012108,"pred","24","1995"
1996,24,0.00146232,"pred","24","1996"
1997,24,0.00147748,"pred","24","1997"
1963,25,0.0130724,"pred","25","1963"
1964,25,0.0189538,"pred","25","1964"
1965,25,0.0169107,"pred","25","1965"
1966,25,0.00888078,"pred","25","1966"
1967,25,0.0073802,"pred","25","1967"
1968,25,0.00824588,"pred","25","1968"
1969,25,0.0101507,"pred","25","1969"
1970,25,0.0127699,"pred","25","1970"
1971,25,0.0121839,"pred","25","1971"
1972,25,0.00930737,"pred","25","1972"
1973,25,0.00738969,"pred","25","1973"
1974,25,0.00710888,"pred","25","1974"
1975,25,0.0076518,"pred","25","1975"
1976,25,0.00828996,"pred","25","1976"
1977,25,0.00897453,"pred","25","1977"
1991,25,0.00674085,"pred","25","1991"
1992,25,0.00645425,"pred","25","1992"
1995,25,0.00210622,"pred","25","1995"
1996,25,0.00227506,"pred","25","1996"
1997,25,0.00231727,"pred","25","1997"
1963,26,0.0209589,"pred","26","1963"
1964,26,0.0279633,"pred","26","1964"
1965,26,0.0324907,"pred","26","1965"
1966,26,0.0185375,"pred","26","1966"
1967,26,0.0129603,"pred","26","1967"
1968,26,0.0138483,"pred","26","1968"
1969,26,0.0158111,"pred","26","1969"
1970,26,0.0200223,"pred","26","1970"
1971,26,0.0214582,"pred","26","1971"
1972,26,0.0175888,"pred","26","1972"
1973,26,0.013637,"pred","26","1973"
1974,26,0.0123581,"pred","26","1974"
1975,26,0.0131374,"pred","26","1975"
1976,26,0.0142929,"pred","26","1976"
1977,26,0.0146381,"pred","26","1977"
1991,26,0.0105003,"pred","26","1991"
1992,26,0.0103664,"pred","26","1992"
1995,26,0.0038371,"pred","26","1995"
1996,26,0.00352895,"pred","26","1996"
1997,26,0.00352344,"pred","26","1997"
1963,27,0.0356873,"pred","27","1963"
1964,27,0.0371192,"pred","27","1964"
1965,27,0.0528684,"pred","27","1965"
1966,27,0.0358631,"pred","27","1966"
1967,27,0.0224137,"pred","27","1967"
1968,27,0.0221163,"pred","27","1968"
1969,27,0.0239856,"pred","27","1969"
1970,27,0.0289474,"pred","27","1970"
1971,27,0.03383,"pred","27","1971"
1972,27,0.0303725,"pred","27","1972"
1973,27,0.0238181,"pred","27","1973"
1974,27,0.0205072,"pred","27","1974"
1975,27,0.0210997,"pred","27","1975"
1976,27,0.0229767,"pred","27","1976"
1977,27,0.0227019,"pred","27","1977"
1991,27,0.0161227,"pred","27","1991"
1992,27,0.0160541,"pred","27","1992"
1995,27,0.00713257,"pred","27","1995"
1996,27,0.00550211,"pred","27","1996"
1997,27,0.00524975,"pred","27","1997"
1963,28,0.05832,"pred","28","1963"
1964,28,0.0476935,"pred","28","1964"
1965,28,0.0728519,"pred","28","1965"
1966,28,0.061374,"pred","28","1966"
1967,28,0.0379618,"pred","28","1967"
1968,28,0.0334221,"pred","28","1968"
1969,28,0.0348903,"pred","28","1969"
1970,28,0.0392714,"pred","28","1970"
1971,28,0.047712,"pred","28","1971"
1972,28,0.047174,"pred","28","1972"
1973,28,0.0386513,"pred","28","1973"
1974,28,0.0322931,"pred","28","1974"
1975,28,0.0316914,"pred","28","1975"
1976,28,0.0341897,"pred","28","1976"
1977,28,0.0331891,"pred","28","1977"
1991,28,0.0240473,"pred","28","1991"
1992,28,0.0239908,"pred","28","1992"
1995,28,0.013066,"pred","28","1995"
1996,28,0.00878318,"pred","28","1996"
1997,28,0.00780172,"pred","28","1997"
1963,29,0.084198,"pred","29","1963"
1964,29,0.0621702,"pred","29","1964"
1965,29,0.0865955,"pred","29","1965"
1966,29,0.0902325,"pred","29","1966"
1967,29,0.0605963,"pred","29","1967"
1968,29,0.0482169,"pred","29","1968"
1969,29,0.0479237,"pred","29","1969"
1970,29,0.050507,"pred","29","1970"
1971,29,0.0605768,"pred","29","1971"
1972,29,0.0653147,"pred","29","1972"
1973,29,0.0571506,"pred","29","1973"
1974,29,0.0476897,"pred","29","1974"
1975,29,0.0445776,"pred","29","1975"
1976,29,0.046931,"pred","29","1976"
1977,29,0.0453126,"pred","29","1977"
1991,29,0.0341309,"pred","29","1991"
1992,29,0.0344739,"pred","29","1992"
1995,29,0.0226898,"pred","29","1995"
1996,29,0.0143911,"pred","29","1996"
1997,29,0.0117692,"pred","29","1997"
1963,30,0.103842,"pred","30","1963"
1964,30,0.0807996,"pred","30","1964"
1965,30,0.0921556,"pred","30","1965"
1966,30,0.113335,"pred","30","1966"
1967,30,0.0879699,"pred","30","1967"
1968,30,0.0668417,"pred","30","1968"
1969,30,0.0623395,"pred","30","1969"
1970,30,0.0621868,"pred","30","1970"
1971,30,0.0706317,"pred","30","1971"
1972,30,0.0807153,"pred","30","1972"
1973,30,0.0764114,"pred","30","1973"
1974,30,0.0655883,"pred","30","1974"
1975,30,0.0591954,"pred","30","1975"
1976,30,0.0599747,"pred","30","1976"
1977,30,0.0578739,"pred","30","1977"
1991,30,0.0453827,"pred","30","1991"
1992,30,0.0471792,"pred","30","1992"
1995,30,0.0364776,"pred","30","1995"
1996,30,0.0236803,"pred","30","1996"
1997,30,0.0182359,"pred","30","1997"
1963,31,0.108513,"pred","31","1963"
1964,31,0.0984017,"pred","31","1964"
1965,31,0.0924737,"pred","31","1965"
1966,31,0.122306,"pred","31","1966"
1967,31,0.112914,"pred","31","1967"
1968,31,0.0880932,"pred","31","1968"
1969,31,0.077262,"pred","31","1969"
1970,31,0.0734949,"pred","31","1970"
1971,31,0.0774957,"pred","31","1971"
1972,31,0.0898807,"pred","31","1972"
1973,31,0.0919894,"pred","31","1973"
1974,31,0.0832073,"pred","31","1974"
1975,31,0.0742805,"pred","31","1975"
1976,31,0.0720955,"pred","31","1976"
1977,31,0.0694957,"pred","31","1977"
1991,31,0.0562762,"pred","31","1991"
1992,31,0.0606911,"pred","31","1992"
1995,31,0.0537019,"pred","31","1995"
1996,31,0.0377746,"pred","31","1996"
1997,31,0.0288234,"pred","31","1997"
1963,32,0.0970164,"pred","32","1963"
1964,32,0.106694,"pred","32","1964"
1965,32,0.0908399,"pred","32","1965"
1966,32,0.115839,"pred","32","1966"
1967,32,0.126484,"pred","32","1967"
1968,32,0.107665,"pred","32","1968"
1969,32,0.0916991,"pred","32","1969"
1970,32,0.0837256,"pred","32","1970"
1971,32,0.0819442,"pred","32","1971"
1972,32,0.0920493,"pred","32","1972"
1973,32,0.100134,"pred","32","1973"
1974,32,0.096744,"pred","32","1974"
1975,32,0.0878768,"pred","32","1975"
1976,32,0.0824803,"pred","32","1976"
1977,32,0.0792565,"pred","32","1977"
1991,32,0.0655554,"pred","32","1991"
1992,32,0.072712,"pred","32","1992"
1995,32,0.072227,"pred","32","1995"
1996,32,0.0565871,"pred","32","1996"
1997,32,0.0449228,"pred","32","1997"
1963,33,0.0762151,"pred","33","1963"
1964,33,0.100807,"pred","33","1964"
1965,33,0.087121,"pred","33","1965"
1966,33,0.0994285,"pred","33","1966"
1967,33,0.123787,"pred","33","1967"
1968,33,0.119048,"pred","33","1968"
1969,33,0.103352,"pred","33","1969"
1970,33,0.0920479,"pred","33","1970"
1971,33,0.0849312,"pred","33","1971"
1972,33,0.0891837,"pred","33","1972"
1973,33,0.099764,"pred","33","1973"
1974,33,0.102978,"pred","33","1974"
1975,33,0.0973793,"pred","33","1975"
1976,33,0.0902868,"pred","33","1976"
1977,33,0.0867351,"pred","33","1977"
1991,33,0.0728844,"pred","33","1991"
1992,33,0.0812113,"pred","33","1992"
1995,33,0.0891027,"pred","33","1995"
1996,33,0.0782945,"pred","33","1996"
1997,33,0.0666064,"pred","33","1997"
1963,34,0.0558062,"pred","34","1963"
1964,34,0.0833422,"pred","34","1964"
1965,34,0.0788882,"pred","34","1965"
1966,34,0.0804606,"pred","34","1966"
1967,34,0.107257,"pred","34","1967"
1968,34,0.117442,"pred","34","1968"
1969,34,0.108627,"pred","34","1969"
1970,34,0.0970742,"pred","34","1970"
1971,34,0.0865708,"pred","34","1971"
1972,34,0.0842382,"pred","34","1972"
1973,34,0.0930018,"pred","34","1973"
1974,34,0.100988,"pred","34","1974"
1975,34,0.100559,"pred","34","1975"
1976,34,0.0943974,"pred","34","1976"
1977,34,0.0915091,"pred","34","1977"
1991,34,0.0786412,"pred","34","1991"
1992,34,0.0855849,"pred","34","1992"
1995,34,0.101412,"pred","34","1995"
1996,34,0.099316,"pred","34","1996"
1997,34,0.0912534,"pred","34","1997"
1963,35,0.0417453,"pred","35","1963"
1964,35,0.0622922,"pred","35","1964"
1965,35,0.0656175,"pred","35","1965"
1966,35,0.0629475,"pred","35","1966"
1967,35,0.0842878,"pred","35","1967"
1968,35,0.103189,"pred","35","1968"
1969,35,0.104406,"pred","35","1969"
1970,35,0.0967003,"pred","35","1970"
1971,35,0.0858497,"pred","35","1971"
1972,35,0.0788541,"pred","35","1972"
1973,35,0.083321,"pred","35","1973"
1974,35,0.0925144,"pred","35","1974"
1975,35,0.0966936,"pred","35","1975"
1976,35,0.0935636,"pred","35","1976"
1977,35,0.0926412,"pred","35","1977"
1991,35,0.0833078,"pred","35","1991"
1992,35,0.0867841,"pred","35","1992"
1995,35,0.107103,"pred","35","1995"
1996,35,0.11514,"pred","35","1996"
1997,35,0.113476,"pred","35","1997"
1963,36,0.0349776,"pred","36","1963"
1964,36,0.0451824,"pred","36","1964"
1965,36,0.0502157,"pred","36","1965"
1966,36,0.0478809,"pred","36","1966"
1967,36,0.0619859,"pred","36","1967"
1968,36,0.0815845,"pred","36","1968"
1969,36,0.0907528,"pred","36","1969"
1970,36,0.0893424,"pred","36","1970"
1971,36,0.081248,"pred","36","1971"
1972,36,0.0728037,"pred","36","1972"
1973,36,0.0732521,"pred","36","1973"
1974,36,0.0806837,"pred","36","1974"
1975,36,0.0870774,"pred","36","1975"
1976,36,0.0873616,"pred","36","1976"
1977,36,0.0890665,"pred","36","1977"
1991,36,0.0867874,"pred","36","1991"
1992,36,0.0861259,"pred","36","1992"
1995,36,0.105572,"pred","36","1995"
1996,36,0.121867,"pred","36","1996"
1997,36,0.127065,"pred","36","1997"
1963,37,0.0332721,"pred","37","1963"
1964,37,0.0349074,"pred","37","1964"
1965,37,0.0368949,"pred","37","1965"
1966,37,0.0352954,"pred","37","1966"
1967,37,0.0438389,"pred","37","1967"
1968,37,0.0592393,"pred","37","1968"
1969,37,0.0712978,"pred","37","1969"
1970,37,0.075464,"pred","37","1970"
1971,37,0.0717845,"pred","37","1971"
1972,37,0.0648563,"pred","37","1972"
1973,37,0.0632809,"pred","37","1973"
1974,37,0.0680134,"pred","37","1974"
1975,37,0.0741615,"pred","37","1975"
1976,37,0.0766531,"pred","37","1976"
1977,37,0.0803525,"pred","37","1977"
1991,37,0.0879316,"pred","37","1991"
1992,37,0.0838585,"pred","37","1992"
1995,37,0.0975454,"pred","37","1995"
1996,37,0.117422,"pred","37","1996"
1997,37,0.127494,"pred","37","1997"
1963,38,0.0339706,"pred","38","1963"
1964,38,0.0303436,"pred","38","1964"
1965,38,0.027917,"pred","38","1965"
1966,38,0.0256528,"pred","38","1966"
1967,38,0.0304789,"pred","38","1967"
1968,38,0.0406068,"pred","38","1968"
1969,38,0.0511802,"pred","38","1969"
1970,38,0.0579457,"pred","38","1970"
1971,38,0.0583124,"pred","38","1971"
1972,38,0.0543343,"pred","38","1972"
1973,38,0.0528324,"pred","38","1973"
1974,38,0.0555867,"pred","38","1974"
1975,38,0.0602252,"pred","38","1975"
1976,38,0.0632838,"pred","38","1976"
1977,38,0.0675023,"pred","38","1977"
1991,38,0.0850169,"pred","38","1991"
1992,38,0.0790469,"pred","38","1992"
1995,38,0.0848724,"pred","38","1995"
1996,38,0.102731,"pred","38","1996"
1997,38,0.11436,"pred","38","1997"
1963,39,0.0348257,"pred","39","1963"
1964,39,0.0286551,"pred","39","1964"
1965,39,0.0228809,"pred","39","1965"
1966,39,0.0190393,"pred","39","1966"
1967,39,0.0212738,"pred","39","1967"
1968,39,0.0270314,"pred","39","1968"
1969,39,0.0342754,"pred","39","1969"
1970,39,0.0406725,"pred","39","1970"
1971,39,0.0431788,"pred","39","1971"
1972,39,0.0419947,"pred","39","1972"
1973,39,0.0415955,"pred","39","1973"
1974,39,0.0435111,"pred","39","1974"
1975,39,0.0466834,"pred","39","1975"
1976,39,0.0492612,"pred","39","1976"
1977,39,0.0526058,"pred","39","1977"
1991,39,0.0763552,"pred","39","1991"
1992,39,0.0701306,"pred","39","1992"
1995,39,0.0693223,"pred","39","1995"
1996,39,0.0810975,"pred","39","1996"
1997,39,0.0912598,"pred","39","1997"
1963,40,0.0343464,"pred","40","1963"
1964,40,0.0272916,"pred","40","1964"
1965,40,0.019968,"pred","40","1965"
1966,40,0.0148309,"pred","40","1966"
1967,40,0.0151596,"pred","40","1967"
1968,40,0.017988,"pred","40","1968"
1969,40,0.0220106,"pred","40","1969"
1970,40,0.0264574,"pred","40","1970"
1971,40,0.0292098,"pred","40","1971"
1972,40,0.0296375,"pred","40","1972"
1973,40,0.0302644,"pred","40","1973"
1974,40,0.032016,"pred","40","1974"
1975,40,0.0342545,"pred","40","1975"
1976,40,0.0360864,"pred","40","1976"
1977,40,0.0379988,"pred","40","1977"
1991,40,0.0621017,"pred","40","1991"
1992,40,0.056853,"pred","40","1992"
1995,40,0.052584,"pred","40","1995"
1996,40,0.057362,"pred","40","1996"
1997,40,0.0644844,"pred","40","1997"
1963,41,0.031746,"pred","41","1963"
1964,41,0.0248621,"pred","41","1964"
1965,41,0.0174132,"pred","41","1965"
1966,41,0.0119574,"pred","41","1966"
1967,41,0.0111352,"pred","41","1967"
1968,41,0.0121188,"pred","41","1968"
1969,41,0.0139007,"pred","41","1969"
1970,41,0.0162908,"pred","41","1970"
1971,41,0.0182507,"pred","41","1971"
1972,41,0.0190799,"pred","41","1972"
1973,41,0.0201307,"pred","41","1973"
1974,41,0.0217596,"pred","41","1974"
1975,41,0.0234351,"pred","41","1975"
1976,41,0.0247119,"pred","41","1976"
1977,41,0.0254119,"pred","41","1977"
1991,41,0.0446501,"pred","41","1991"
1992,41,0.0409427,"pred","41","1992"
1995,41,0.0362441,"pred","41","1995"
1996,41,0.0359447,"pred","41","1996"
1997,41,0.0400115,"pred","41","1997"
1963,42,0.0269872,"pred","42","1963"
1964,42,0.0209846,"pred","42","1964"
1965,42,0.0144438,"pred","42","1965"
1966,42,0.0094976,"pred","42","1966"
1967,42,0.00823992,"pred","42","1967"
1968,42,0.00826984,"pred","42","1968"
1969,42,0.00877994,"pred","42","1969"
1970,42,0.00973275,"pred","42","1970"
1971,42,0.0106712,"pred","42","1971"
1972,42,0.0112895,"pred","42","1972"
1973,42,0.012214,"pred","42","1973"
1974,42,0.0135074,"pred","42","1974"
1975,42,0.0147723,"pred","42","1975"
1976,42,0.0156694,"pred","42","1976"
1977,42,0.0156775,"pred","42","1977"
1991,42,0.0278442,"pred","42","1991"
1992,42,0.0256236,"pred","42","1992"
1995,42,0.0221661,"pred","42","1995"
1996,42,0.0197379,"pred","42","1996"
1997,42,0.0216505,"pred","42","1997"
1963,43,0.0208376,"pred","43","1963"
1964,43,0.0161455,"pred","43","1964"
1965,43,0.0110117,"pred","43","1965"
1966,43,0.00709218,"pred","43","1966"
1967,43,0.00590841,"pred","43","1967"
1968,43,0.00555673,"pred","43","1968"
1969,43,0.00549389,"pred","43","1969"
1970,43,0.00568234,"pred","43","1970"
1971,43,0.00594463,"pred","43","1971"
1972,43,0.00621234,"pred","43","1972"
1973,43,0.00677041,"pred","43","1973"
1974,43,0.00761914,"pred","43","1974"
1975,43,0.00847673,"pred","43","1975"
1976,43,0.0090868,"pred","43","1976"
1977,43,0.00887088,"pred","43","1977"
1991,43,0.0148208,"pred","43","1991"
1992,43,0.0136936,"pred","43","1992"
1995,43,0.0117383,"pred","43","1995"
1996,43,0.00935115,"pred","43","1996"
1997,43,0.0100987,"pred","43","1997"
1963,44,0.0144874,"pred","44","1963"
1964,44,0.0111987,"pred","44","1964"
1965,44,0.00761452,"pred","44","1965"
1966,44,0.00486341,"pred","44","1966"
1967,44,0.00396358,"pred","44","1967"
1968,44,0.00359593,"pred","44","1968"
1969,44,0.00336481,"pred","44","1969"
1970,44,0.00325384,"pred","44","1970"
1971,44,0.00320665,"pred","44","1971"
1972,44,0.00322002,"pred","44","1972"
1973,44,0.00346758,"pred","44","1973"
1974,44,0.00392365,"pred","44","1974"
1975,44,0.00443569,"pred","44","1975"
1976,44,0.00481113,"pred","44","1976"
1977,44,0.00459184,"pred","44","1977"
1991,44,0.00665363,"pred","44","1991"
1992,44,0.00617126,"pred","44","1992"
1995,44,0.00528535,"pred","44","1995"
1996,44,0.00377975,"pred","44","1996"
1997,44,0.0040233,"pred","44","1997"
1963,45,0.0182256,"pred","45","1963"
1964,45,0.0140534,"pred","45","1964"
1965,45,0.0095244,"pred","45","1965"
1966,45,0.00603217,"pred","45","1966"
1967,45,0.00484883,"pred","45","1967"
1968,45,0.00427148,"pred","45","1968"
1969,45,0.00377484,"pred","45","1969"
1970,45,0.00339175,"pred","45","1970"
1971,45,0.0030542,"pred","45","1971"
1972,45,0.00281574,"pred","45","1972"
1973,45,0.0028531,"pred","45","1973"
1974,45,0.00314264,"pred","45","1974"
1975,45,0.00353213,"pred","45","1975"
1976,45,0.00386476,"pred","45","1976"
1977,45,0.00355591,"pred","45","1977"
1991,45,0.00350276,"pred","45","1991"
1992,45,0.00326308,"pred","45","1992"
1995,45,0.00280845,"pred","45","1995"
1996,45,0.00175002,"pred","45","1996"
1997,45,0.00183049,"pred","45","1997"
