"year","maxf","authf","half_maxf","avg5f","nof","overf","appoverf"
2023,0.073,0.073,0.073,0.073,0.073,0.073,0.073
2024,0.099,0.078,0.05,0.064,0,0.119,0.099
2025,0.099,0.076,0.05,0.064,0,0.119,0.099
2026,0.099,0.099,0.05,0.064,0,0.119,0.119
2027,0.099,0.099,0.05,0.064,0,0.119,0.119
2028,0.099,0.099,0.05,0.064,0,0.119,0.119
2029,0.099,0.099,0.05,0.064,0,0.119,0.119
2030,0.099,0.099,0.05,0.064,0,0.119,0.119
2031,0.099,0.099,0.05,0.064,0,0.119,0.119
2032,0.099,0.099,0.05,0.064,0,0.119,0.119
2033,0.099,0.099,0.05,0.064,0,0.119,0.119
2034,0.099,0.099,0.05,0.064,0,0.118,0.119
2035,0.099,0.099,0.05,0.064,0,0.115,0.117
2036,0.099,0.099,0.05,0.064,0,0.114,0.115
