"","region","apport","y1","y2"
"1","cgoa",0.805359072298656,29600.1673432648,28648.2329198078
"2","egoa",0.127120060806052,4672.17071486564,4521.91480299289
"3","wgoa",0.0675208668952914,2481.66194186954,2401.8522771993
