"year","obs","pred"
1961,16000,16597.2
1962,65000,70591.4
1963,136300,151555
1964,243400,279524
1965,348600,370133
1966,200800,186124
1967,120000,114152
1968,100200,98211.6
1969,72600,71534.9
1970,44900,44441.9
1971,77500,74393.4
1972,77600,72795.7
1973,56400,53218.5
1974,51000,49493.9
1975,50400,50198.1
1976,45500,44880.2
1977,21600,21479.7
1978,8000,8010.94
1979,8300,8322.4
1980,10800,10854.1
1981,10500,10570
1982,5400,5426.45
1983,2821,2832.85
1984,2752,2764.17
1985,800,804.077
1986,2200,2210.18
1987,4500,4525.05
1988,8540,8609.52
1989,11780,11899.2
1990,13090,13114.1
1991,6548,6558.32
1992,6538,6546.82
1993,2060,2068.57
1994,1841,1849.4
1995,5741,5758.51
1996,8378,8409.58
1997,9519,9555.78
1998,8908,8941.18
1999,10473,10520.8
2000,10146,10189.5
2001,10817,10869.8
2002,11734,11784.6
2003,10846,10837.9
2004,11640,11622.5
2005,11248,11229
2006,13595,13555.4
2007,12955,12905.5
2008,12461,12417.1
2009,12986,12900.4
2010,15616,15484.4
2011,14224,14092.9
2012,14916,14773.6
2013,13181,13108.3
2014,17712,17568.8
2015,18733,18599.5
2016,23034,22830.3
2017,23860,23752
2018,24737,24614.1
2019,25470,25393.6
2020,25191,25109.5
2021,28187,28190.9
