"year","biomass","pred","se","lci","uci"
1990,157295,303153,47129,64922.16,249667.84
1993,483622,409704,108643,270681.72,696562.28
1996,771413,540151,203554,372447.16,1170378.84
1999,727064,599313,388566,-34525.36,1488653.36
2001,820066,636830,232393,364575.72,1275556.28
2003,457422,690804,72015,316272.6,598571.4
2005,764901,766931,146628,477510.12,1052291.88
2007,688180,847928,114172,464402.88,911957.12
2009,649449,916083,117761,418637.44,880260.56
2011,778670,962253,135506,513078.24,1044261.76
2013,1298440,1003870,213516,879948.64,1716931.36
2015,1140410,1042500,176812,793858.48,1486961.52
2017,1570360,1050750,350210,883948.4,2256771.6
2019,1212140,1033330,164066,890570.64,1533709.36
2021,1478940,1009040,304645,881835.8,2076044.2
