"weight","value","variable","model"
50,0.0202157,"SSQ Catch Likelihood","2023-09-27-Mprofile_M=0.29"
1,34.3867,"Bottom Trawl Survey Likelihood","2023-09-27-Mprofile_M=0.29"
1,42.9671,"Fishery Age Composition Likelihood","2023-09-27-Mprofile_M=0.29"
1,65.6951,"Bottom Trawl Survey Age Composition Likelihood","2023-09-27-Mprofile_M=0.29"
1,61.9068,"Fishery Size Composition Likelihood","2023-09-27-Mprofile_M=0.29"
0,0,"Fishery CPUE Likelihood","2023-09-27-Mprofile_M=0.29"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-27-Mprofile_M=0.29"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.29"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.29"
1,-66.9871,"Recruitment Deviations Likelihood","2023-09-27-Mprofile_M=0.29"
0.1,7.19464,"Fishing Mortality Deviations Penalty","2023-09-27-Mprofile_M=0.29"
1,30.5635,"Priors SigmaR","2023-09-27-Mprofile_M=0.29"
1,0.296359,"Priors q Bottom Trawl Survey","2023-09-27-Mprofile_M=0.29"
1,0,"Priors M","2023-09-27-Mprofile_M=0.29"
1,0,"Priors q Alternative Survey","2023-09-27-Mprofile_M=0.29"
1,103.754,"Maturity Likelihood","2023-09-27-Mprofile_M=0.29"
1,285.488,"Objective Function","2023-09-27-Mprofile_M=0.29"
1,204.976,"Data Likelihood","2023-09-27-Mprofile_M=0.29"
