"weight","value","variable","model"
50,0.0602079,"SSQ Catch Likelihood","2023-09-27-Mprofile_M=0.21"
1,28.7667,"Bottom Trawl Survey Likelihood","2023-09-27-Mprofile_M=0.21"
1,29.8247,"Fishery Age Composition Likelihood","2023-09-27-Mprofile_M=0.21"
1,56.0376,"Bottom Trawl Survey Age Composition Likelihood","2023-09-27-Mprofile_M=0.21"
1,63.7226,"Fishery Size Composition Likelihood","2023-09-27-Mprofile_M=0.21"
0,0,"Fishery CPUE Likelihood","2023-09-27-Mprofile_M=0.21"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-27-Mprofile_M=0.21"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.21"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.21"
1,-48.6682,"Recruitment Deviations Likelihood","2023-09-27-Mprofile_M=0.21"
0.1,7.60112,"Fishing Mortality Deviations Penalty","2023-09-27-Mprofile_M=0.21"
1,23.9153,"Priors SigmaR","2023-09-27-Mprofile_M=0.21"
1,0.199867,"Priors q Bottom Trawl Survey","2023-09-27-Mprofile_M=0.21"
1,0,"Priors M","2023-09-27-Mprofile_M=0.21"
1,0,"Priors q Alternative Survey","2023-09-27-Mprofile_M=0.21"
1,103.517,"Maturity Likelihood","2023-09-27-Mprofile_M=0.21"
1,265.071,"Objective Function","2023-09-27-Mprofile_M=0.21"
1,178.412,"Data Likelihood","2023-09-27-Mprofile_M=0.21"
