"year","obs","pred"
1961,16000,16042.1
1962,65000,65318.9
1963,136300,137421
1964,243400,246169
1965,348600,350673
1966,200800,199635
1967,120000,119492
1968,100200,100009
1969,72600,72531.3
1970,44900,44885.4
1971,77500,77372.7
1972,77600,77398.2
1973,56400,56275
1974,51000,50939.8
1975,50400,50383.9
1976,45500,45491.7
1977,21600,21605.6
1978,8000,8015.15
1979,8300,8316.03
1980,10800,10818.7
1981,10500,10520.7
1982,5400,5415.27
1983,2821,2831.76
1984,2752,2762.72
1985,800,804.813
1986,2200,2209.48
1987,4500,4515.7
1988,8540,8568.81
1989,11780,11824.3
1990,13090,13114.7
1991,6548.13,6565.03
1992,6537.64,6555.11
1993,2059.76,2069.31
1994,1841.23,1850.49
1995,5740.72,5758.16
1996,8378.43,8394.82
1997,9518.82,9536.6
1998,8907.93,8925.92
1999,10473.1,10492.4
2000,10145.5,10165.3
2001,10817.1,10837.6
2002,11733.8,11754.5
2003,10846.3,10849.5
2004,11639.9,11639.9
2005,11247.5,11245.1
2006,13595.3,13583.6
2007,12954.8,12916.5
2008,12461.2,12423.6
2009,12986.4,12932.4
2010,15615.7,15526.7
2011,14223.6,14139.5
2012,14916,14816.3
2013,13181.4,13114
2014,17712.1,17576
2015,18732.8,18593
2016,23034.5,22812.1
2017,23860.2,23678.2
2018,24737,24534.5
2019,25470.3,25309.5
2020,25191.2,25032.6
2021,28899.9,28774.5
2022,29484,29371.8
2023,30380.7,30320
