"age","srv1","maturity"
2,44.3,0.00631309
3,98.3,0.0123098
4,166.7,0.0238658
5,242.5,0.0457676
6,320,0.0859981
7,395,0.155817
8,464.9,0.265834
9,528.2,0.415314
10,584.5,0.582193
11,633.8,0.732159
12,676.3,0.842828
13,712.7,0.913192
14,743.6,0.953782
15,769.7,0.975894
16,791.7,0.987565
17,810,0.993622
18,825.4,0.996739
19,838.1,0.998335
20,848.7,0.99915
21,857.5,0.999567
22,864.7,0.999779
23,870.8,0.999887
24,875.7,0.999943
25,879.8,0.999971
26,883.2,0.999985
27,886,0.999992
28,888.3,0.999996
29,894.6,0.999998
