"weight","value","variable","model"
50,0.0394406,"SSQ Catch Likelihood","2023-09-25-Mprofile_M=0.23"
1,30.7043,"Bottom Trawl Survey Likelihood","2023-09-25-Mprofile_M=0.23"
1,32.0068,"Fishery Age Composition Likelihood","2023-09-25-Mprofile_M=0.23"
1,51.8201,"Bottom Trawl Survey Age Composition Likelihood","2023-09-25-Mprofile_M=0.23"
1,64.6913,"Fishery Size Composition Likelihood","2023-09-25-Mprofile_M=0.23"
0,0,"Fishery CPUE Likelihood","2023-09-25-Mprofile_M=0.23"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-25-Mprofile_M=0.23"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.23"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.23"
1,-62.7182,"Recruitment Deviations Likelihood","2023-09-25-Mprofile_M=0.23"
0.1,7.56778,"Fishing Mortality Deviations Penalty","2023-09-25-Mprofile_M=0.23"
1,28.9415,"Priors SigmaR","2023-09-25-Mprofile_M=0.23"
1,0.301189,"Priors q Bottom Trawl Survey","2023-09-25-Mprofile_M=0.23"
1,0,"Priors M","2023-09-25-Mprofile_M=0.23"
1,0,"Priors q Alternative Survey","2023-09-25-Mprofile_M=0.23"
1,103.529,"Maturity Likelihood","2023-09-25-Mprofile_M=0.23"
1,257.519,"Objective Function","2023-09-25-Mprofile_M=0.23"
1,179.262,"Data Likelihood","2023-09-25-Mprofile_M=0.23"
