"year","obs","pred"
1961,16000,16077.8
1962,65000,65759
1963,136300,138505
1964,243400,247729
1965,348600,350053
1966,200800,197449
1967,120000,118741
1968,100200,99800.9
1969,72600,72469.2
1970,44900,44861.3
1971,77500,77219.7
1972,77600,77108
1973,56400,56075.6
1974,51000,50898.2
1975,50400,50468.3
1976,45500,45549.1
1977,21600,21610.2
1978,8000,8012.78
1979,8300,8317.37
1980,10800,10830.6
1981,10500,10537.1
1982,5400,5418.44
1983,2821,2831.75
1984,2752,2762.98
1985,800,804.446
1986,2200,2209.67
1987,4500,4519.85
1988,8540,8588.34
1989,11780,11862.3
1990,13090,13124.1
1991,6548.13,6564.63
1992,6537.64,6553.81
1993,2059.76,2068.7
1994,1841.23,1850
1995,5740.72,5757.65
1996,8378.43,8398.86
1997,9518.82,9542.08
1998,8907.93,8930.68
1999,10473.1,10500.8
2000,10145.5,10172.7
2001,10817.1,10844.9
2002,11733.8,11760.8
2003,10846.3,10842
2004,11639.9,11630
2005,11247.5,11235.2
2006,13595.3,13568
2007,12954.8,12915.8
2008,12461.2,12424.3
2009,12986.4,12924.1
2010,15615.7,15512.8
2011,14223.6,14124
2012,14916,14801.5
2013,13181.4,13112.6
2014,17712.1,17570.1
2015,18732.8,18592.3
2016,23034.5,22811.7
2017,23860.2,23698.3
2018,24737,24558.6
2019,25470.3,25338.5
2020,25191.2,25061.9
2021,28899.9,28822.3
2022,29484,29409.7
2023,30380.7,30364.9
