"age","srv1","maturity"
2,44.3,0.0064985
3,98.3,0.0126307
4,166.7,0.0244073
5,242.5,0.0466455
6,320,0.0873317
7,395,0.157638
8,464.9,0.267929
9,528.2,0.417169
10,584.5,0.583303
11,633.8,0.732452
12,676.3,0.84262
13,712.7,0.912823
14,743.6,0.953441
15,769.7,0.975639
16,791.7,0.987394
17,810,0.993514
18,825.4,0.996673
19,838.1,0.998296
20,848.7,0.999128
21,857.5,0.999554
22,864.7,0.999772
23,870.8,0.999883
24,875.7,0.99994
25,879.8,0.999969
26,883.2,0.999984
27,886,0.999992
28,888.3,0.999996
29,894.6,0.999998
