"age","fish1","fish2","fish3","fish4","srv1"
2,0.000161212,0.0000827654,0.00000432224,0.000297887,0.040166
3,0.000832455,0.000614339,0.000396554,0.00317952,0.0565988
4,0.00428659,0.00438088,0.00447892,0.0119424,0.0792006
5,0.0217609,0.0216003,0.0214577,0.0292493,0.109779
6,0.103094,0.0836476,0.0642549,0.0566739,0.150241
7,0.372623,0.257719,0.142935,0.0946866,0.202234
8,0.754239,0.506508,0.258994,0.142816,0.266584
9,0.940681,0.672104,0.403864,0.199874,0.342631
10,0.987943,0.774508,0.561541,0.264183,0.427745
11,0.997644,0.855151,0.713255,0.333785,0.517396
12,0.999543,0.920433,0.842027,0.406615,0.60599
13,0.999912,0.967445,0.935759,0.480634,0.688185
14,0.999983,0.993816,0.988475,0.553935,0.760099
15,0.999997,0.999581,1,0.624808,0.81986
16,0.999999,0.98693,0.974673,0.691781,0.86743
17,1,0.959452,0.919671,0.753648,0.904019
18,1,0.921344,0.843391,0.809463,0.931423
19,1,0.876766,0.754162,0.858539,0.951543
20,1,0.829407,0.659364,0.900429,0.9661
21,1,0.782241,0.564955,0.934901,0.97652
22,1,0.737462,0.475321,0.961911,0.983923
23,1,0.696512,0.393352,0.981579,0.989153
24,1,0.660192,0.320653,0.994155,0.992834
25,1,0.628799,0.257813,1,0.995419
26,1,0.602256,0.204683,0.999554,0.997229
27,1,0.580242,0.160617,0.993316,0.998496
28,1,0.562292,0.124688,0.981827,0.999381
29,1,0.547876,0.0958326,0.965646,1
