"year","obs","pred"
1961,16000,16080.4
1962,65000,65794.8
1963,136300,138620
1964,243400,247879
1965,348600,349904
1966,200800,197262
1967,120000,118670
1968,100200,99772
1969,72600,72463
1970,44900,44860.9
1971,77500,77217.1
1972,77600,77102.9
1973,56400,56074.3
1974,51000,50909.5
1975,50400,50491.4
1976,45500,45567.8
1977,21600,21615.4
1978,8000,8013.12
1979,8300,8317.05
1980,10800,10828.6
1981,10500,10533.9
1982,5400,5417.59
1983,2821,2831.65
1984,2752,2762.88
1985,800,804.502
1986,2200,2209.65
1987,4500,4519.29
1988,8540,8585.9
1989,11780,11858.4
1990,13090,13141.8
1991,6548.13,6568.13
1992,6537.64,6555.85
1993,2059.76,2068.7
1994,1841.23,1849.91
1995,5740.72,5757.14
1996,8378.43,8397.69
1997,9518.82,9540.54
1998,8907.93,8929.48
1999,10473.1,10499.8
2000,10145.5,10172.4
2001,10817.1,10845.4
2002,11733.8,11761.9
2003,10846.3,10842.5
2004,11639.9,11630.9
2005,11247.5,11236.1
2006,13595.3,13569.4
2007,12954.8,12916.2
2008,12461.2,12424.8
2009,12986.4,12924.2
2010,15615.7,15513.4
2011,14223.6,14123.8
2012,14916,14801.6
2013,13181.4,13112.7
2014,17712.1,17570.8
2015,18732.8,18592.7
2016,23034.5,22813
2017,23860.2,23699.9
2018,24737,24560.9
2019,25470.3,25338.5
2020,25191.2,25062.5
2021,28899.9,28821.1
2022,29484,29409.3
2023,29939.5,29924.6
