"weight","value","variable","model"
50,0.114879,"SSQ Catch Likelihood","2023-09-25-Mprofile_M=0.13"
1,21.9012,"Bottom Trawl Survey Likelihood","2023-09-25-Mprofile_M=0.13"
1,26.7568,"Fishery Age Composition Likelihood","2023-09-25-Mprofile_M=0.13"
1,32.9209,"Bottom Trawl Survey Age Composition Likelihood","2023-09-25-Mprofile_M=0.13"
1,65.5874,"Fishery Size Composition Likelihood","2023-09-25-Mprofile_M=0.13"
0,0,"Fishery CPUE Likelihood","2023-09-25-Mprofile_M=0.13"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-25-Mprofile_M=0.13"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.13"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.13"
1,-20.805,"Recruitment Deviations Likelihood","2023-09-25-Mprofile_M=0.13"
0.1,7.75303,"Fishing Mortality Deviations Penalty","2023-09-25-Mprofile_M=0.13"
1,15.3646,"Priors SigmaR","2023-09-25-Mprofile_M=0.13"
1,0.0191632,"Priors q Bottom Trawl Survey","2023-09-25-Mprofile_M=0.13"
1,0,"Priors M","2023-09-25-Mprofile_M=0.13"
1,0,"Priors q Alternative Survey","2023-09-25-Mprofile_M=0.13"
1,103.516,"Maturity Likelihood","2023-09-25-Mprofile_M=0.13"
1,253.129,"Objective Function","2023-09-25-Mprofile_M=0.13"
1,147.281,"Data Likelihood","2023-09-25-Mprofile_M=0.13"
