"year","obs","pred"
1961,16000,16108.2
1962,65000,65994.5
1963,136300,139004
1964,243400,249597
1965,348600,352867
1966,200800,197844
1967,120000,118837
1968,100200,99834.9
1969,72600,72424.1
1970,44900,44826.8
1971,77500,76970.4
1972,77600,76738
1973,56400,55834.7
1974,51000,50774
1975,50400,50433
1976,45500,45476.4
1977,21600,21595.2
1978,8000,8011.7
1979,8300,8320.93
1980,10800,10847
1981,10500,10559.4
1982,5400,5423.59
1983,2821,2832.34
1984,2752,2763.66
1985,800,804.156
1986,2200,2209.96
1987,4500,4523.47
1988,8540,8603.63
1989,11780,11889.5
1990,13090,13122.2
1991,6548.13,6561.66
1992,6537.64,6550.1
1993,2059.76,2068.47
1994,1841.23,1849.78
1995,5740.72,5758.52
1996,8378.43,8407.47
1997,9518.82,9552.67
1998,8907.93,8938.93
1999,10473.1,10515.1
2000,10145.5,10184.5
2001,10817.1,10857.2
2002,11733.8,11771.5
2003,10846.3,10838.1
2004,11639.9,11623.5
2005,11247.5,11229.5
2006,13595.3,13558.1
2007,12954.8,12909.6
2008,12461.2,12420.2
2009,12986.4,12910.3
2010,15615.7,15495.3
2011,14223.6,14103.6
2012,14916,14782.9
2013,13181.4,13106.5
2014,17712.1,17561.8
2015,18732.8,18584.8
2016,23034.5,22805.8
2017,23860.2,23708.6
2018,24737,24572.1
2019,25470.3,25341.7
2020,25191.2,25065.9
2021,28899.9,28835.1
2022,29484,29416.2
2023,30380.7,30378.6
