"weight","value","variable","model"
50,0.109695,"SSQ Catch Likelihood","2023-09-27-Mprofile_M=0.13"
1,22.2389,"Bottom Trawl Survey Likelihood","2023-09-27-Mprofile_M=0.13"
1,26.7537,"Fishery Age Composition Likelihood","2023-09-27-Mprofile_M=0.13"
1,37.9077,"Bottom Trawl Survey Age Composition Likelihood","2023-09-27-Mprofile_M=0.13"
1,64.7059,"Fishery Size Composition Likelihood","2023-09-27-Mprofile_M=0.13"
0,0,"Fishery CPUE Likelihood","2023-09-27-Mprofile_M=0.13"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-27-Mprofile_M=0.13"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.13"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-27-Mprofile_M=0.13"
1,-17.1138,"Recruitment Deviations Likelihood","2023-09-27-Mprofile_M=0.13"
0.1,7.67974,"Fishing Mortality Deviations Penalty","2023-09-27-Mprofile_M=0.13"
1,14.3732,"Priors SigmaR","2023-09-27-Mprofile_M=0.13"
1,0.0399416,"Priors q Bottom Trawl Survey","2023-09-27-Mprofile_M=0.13"
1,0,"Priors M","2023-09-27-Mprofile_M=0.13"
1,0,"Priors q Alternative Survey","2023-09-27-Mprofile_M=0.13"
1,103.516,"Maturity Likelihood","2023-09-27-Mprofile_M=0.13"
1,260.211,"Objective Function","2023-09-27-Mprofile_M=0.13"
1,151.716,"Data Likelihood","2023-09-27-Mprofile_M=0.13"
