"age","fish1","fish2","fish3","fish4","srv1"
2,0.000210965,0.000109167,0.00000736873,0.000599213,0.0615
3,0.0010354,0.000827577,0.000619763,0.00620242,0.090957
4,0.00506532,0.00582592,0.00658659,0.0225614,0.132531
5,0.0243973,0.0272037,0.0300105,0.0534837,0.189154
6,0.109398,0.0976824,0.0859683,0.100274,0.262646
7,0.376311,0.279965,0.18362,0.162072,0.352289
8,0.747711,0.533994,0.32028,0.236457,0.453705
9,0.935723,0.708692,0.481667,0.320069,0.559121
10,0.986208,0.81651,0.64682,0.409142,0.659472
11,0.997161,0.895763,0.794375,0.49991,0.747316
12,0.999421,0.953492,0.907574,0.588901,0.818741
13,0.999882,0.988354,0.976837,0.673119,0.873412
14,0.999976,0.999982,1,0.750135,0.913355
15,0.999995,0.990464,0.980944,0.818121,0.941556
16,0.999999,0.963745,0.927502,0.875831,0.960989
17,1,0.924658,0.849327,0.922551,0.974156
18,1,0.878074,0.756157,0.958037,0.982978
19,1,0.828314,0.656636,0.982429,0.988842
20,1,0.778836,0.557679,0.996186,0.99272
21,1,0.732138,0.464281,1,0.995277
22,1,0.689813,0.37963,0.994736,0.996959
23,1,0.652692,0.305387,0.981368,0.998063
24,1,0.621017,0.242037,0.960927,0.998788
25,1,0.594617,0.189236,0.934463,0.999263
26,1,0.573058,0.146117,0.903005,0.999575
27,1,0.555765,0.111531,0.867542,0.999779
28,1,0.542115,0.0842303,0.828998,0.999912
29,1,0.531493,0.0629874,0.788224,1
