"age","fish1","fish2","fish3","fish4","srv1"
2,0.000132373,0.0000667026,0.0000010331,0.0000206204,0.00597026
3,0.000680278,0.000393804,0.000107389,0.00043764,0.00799039
4,0.00348812,0.00242138,0.00135537,0.00242967,0.0106872
5,0.0176802,0.0124457,0.00721512,0.00778994,0.0142818
6,0.0847074,0.0543137,0.023933,0.0184871,0.0190636
7,0.322433,0.19063,0.0588587,0.0362712,0.0254077
8,0.709883,0.413784,0.117748,0.0624059,0.0337948
9,0.926372,0.56439,0.202518,0.097532,0.044831
10,0.984778,0.647478,0.310346,0.14164,0.059264
11,0.997003,0.715481,0.434196,0.194124,0.0779881
12,0.999416,0.78172,0.564332,0.253878,0.102028
13,0.999886,0.84485,0.690189,0.319426,0.132482
14,0.999978,0.900812,0.802083,0.389052,0.170417
15,0.999996,0.945976,0.892441,0.460926,0.216688
16,0.999999,0.97796,0.956441,0.533212,0.271704
17,1,0.995783,0.992106,0.604158,0.335166
18,1,0.999728,1,0.672169,0.405861
19,1,0.991069,0.982672,0.735849,0.481619
20,1,0.971749,0.944012,0.794038,0.559504
21,1,0.944069,0.888622,0.84582,0.636232
22,1,0.910414,0.821275,0.890528,0.708713
23,1,0.873051,0.746507,0.92773,0.774513
24,1,0.833987,0.668338,0.957212,0.832129
25,1,0.794896,0.590113,0.978959,0.881005
26,1,0.757085,0.514451,0.993123,0.921362
27,1,0.721508,0.443257,1,0.953951
28,1,0.688794,0.377793,1,0.979796
29,1,0.659301,0.318775,0.993622,1
